"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.87.79","104.18.35.30","TCP","66","60994  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.074987","104.18.35.30","100.86.87.79","TCP","66","443  >  60994 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"3","0.075384","100.86.87.79","104.18.35.30","TCP","54","60994  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"4","0.076392","100.86.87.79","104.18.35.30","TLSv1.3","1809","Client Hello (SNI=423b12fd7b819ec52acafed4ef462cb2.doordash.com)"
"5","0.109870","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=1 Ack=1756 Win=40960 Len=0"
"6","0.134949","104.18.35.30","100.86.87.79","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"7","0.134949","104.18.35.30","100.86.87.79","TCP","1514","443  >  60994 [PSH, ACK] Seq=1461 Ack=1756 Win=40960 Len=1460 [TCP segment of a reassembled PDU]"
"8","0.134949","104.18.35.30","100.86.87.79","TCP","1514","443  >  60994 [ACK] Seq=2921 Ack=1756 Win=40960 Len=1460 [TCP segment of a reassembled PDU]"
"9","0.134949","104.18.35.30","100.86.87.79","TLSv1.3","1015","Application Data"
"10","0.135771","100.86.87.79","104.18.35.30","TCP","54","60994  >  443 [ACK] Seq=1756 Ack=5342 Win=131584 Len=0"
"11","0.138806","100.86.87.79","104.18.35.30","TLSv1.3","118","Change Cipher Spec, Application Data"
"12","0.139544","100.86.87.79","104.18.35.30","TLSv1.3","146","Application Data"
"13","0.140748","100.86.87.79","104.18.35.30","TLSv1.3","445","Application Data"
"14","0.189022","104.18.35.30","100.86.87.79","TLSv1.3","582","Application Data, Application Data"
"15","0.190111","100.86.87.79","104.18.35.30","TLSv1.3","85","Application Data"
"16","0.203484","104.18.35.30","100.86.87.79","TLSv1.3","85","Application Data"
"17","0.230773","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=5901 Ack=2303 Win=40960 Len=0"
"18","0.235819","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=5901 Ack=2334 Win=40960 Len=0"
"19","0.252409","100.86.87.79","104.18.35.30","TCP","54","60994  >  443 [ACK] Seq=2334 Ack=5901 Win=130816 Len=0"
"20","0.267921","104.18.35.30","100.86.87.79","TLSv1.3","812","Application Data"
"21","0.272268","100.86.87.79","104.18.35.30","TCP","66","60997  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"22","0.316780","104.18.35.30","100.86.87.79","TCP","66","443  >  60997 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"23","0.317315","100.86.87.79","104.18.35.30","TCP","54","60997  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0"
"24","0.317638","100.86.87.79","104.18.35.30","TLSv1.3","1809","Client Hello (SNI=423b12fd7b819ec52acafed4ef462cb2.doordash.com)"
"25","0.322339","100.86.87.79","104.18.35.30","TCP","54","60994  >  443 [ACK] Seq=2334 Ack=6659 Win=130048 Len=0"
"26","0.391736","104.18.35.30","100.86.87.79","TCP","56","443  >  60997 [ACK] Seq=1 Ack=1756 Win=65536 Len=0"
"27","0.426255","104.18.35.30","100.86.87.79","TLSv1.3","4434","Server Hello, Change Cipher Spec"
"28","0.426255","104.18.35.30","100.86.87.79","TLSv1.3","1015","Application Data"
"29","0.427003","100.86.87.79","104.18.35.30","TCP","54","60997  >  443 [ACK] Seq=1756 Ack=5342 Win=131584 Len=0"
"30","0.427038","100.86.87.79","104.18.35.30","TLSv1.3","118","Change Cipher Spec, Application Data"
"31","0.427208","100.86.87.79","104.18.35.30","TLSv1.3","146","Application Data"
"32","0.427622","100.86.87.79","104.18.35.30","TLSv1.3","754","Application Data"
"33","0.427753","100.86.87.79","104.18.35.30","TLSv1.3","3538","Application Data"
"34","0.509455","104.18.35.30","100.86.87.79","TCP","1015","[TCP Spurious Retransmission] 443  >  60997 [PSH, ACK] Seq=4381 Ack=1756 Win=65536 Len=961 [TCP segment of a reassembled PDU]"
"35","0.509629","100.86.87.79","104.18.35.30","TCP","66","[TCP Dup ACK 29#1] 60997  >  443 [ACK] Seq=6096 Ack=5342 Win=131584 Len=0 SLE=4381 SRE=5342"
"36","0.614413","104.18.35.30","100.86.87.79","TLSv1.3","591","Application Data, Application Data"
"37","0.616294","100.86.87.79","104.18.35.30","TLSv1.3","85","Application Data"
"38","0.619259","104.18.35.30","100.86.87.79","TCP","56","443  >  60997 [ACK] Seq=5879 Ack=2612 Win=65536 Len=0"
"39","0.626703","104.18.35.30","100.86.87.79","TCP","56","443  >  60997 [ACK] Seq=5879 Ack=6096 Win=65536 Len=0"
"40","0.741559","104.18.35.30","100.86.87.79","TCP","56","443  >  60997 [ACK] Seq=5879 Ack=6127 Win=65536 Len=0"
"41","0.779787","104.18.35.30","100.86.87.79","TLSv1.3","105","[TCP Previous segment not captured] , Application Data"
"42","0.779787","104.18.35.30","100.86.87.79","TLSv1.3","85","Application Data"
"43","0.779864","100.86.87.79","104.18.35.30","TCP","66","[TCP Dup ACK 37#1] 60997  >  443 [ACK] Seq=6127 Ack=5879 Win=130816 Len=0 SLE=6541 SRE=6592"
"44","0.779904","100.86.87.79","104.18.35.30","TCP","66","[TCP Dup ACK 37#2] 60997  >  443 [ACK] Seq=6127 Ack=5879 Win=130816 Len=0 SLE=6541 SRE=6623"
"45","0.813360","104.18.35.30","100.86.87.79","TCP","716","[TCP Out-Of-Order] 443  >  60997 [PSH, ACK] Seq=5879 Ack=6127 Win=65536 Len=662"
"46","0.813501","100.86.87.79","104.18.35.30","TCP","54","60997  >  443 [ACK] Seq=6127 Ack=6623 Win=130304 Len=0"
"47","1.929670","100.86.87.79","104.18.35.30","TLSv1.3","283","Application Data"
"48","1.929839","100.86.87.79","104.18.35.30","TCP","15454","60994  >  443 [ACK] Seq=2563 Ack=6659 Win=130048 Len=15400 [TCP segment of a reassembled PDU]"
"49","1.946083","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=6659 Ack=3963 Win=40960 Len=0"
"50","1.946083","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=6659 Ack=6763 Win=40960 Len=0"
"51","1.946202","100.86.87.79","104.18.35.30","TLSv1.3","8454","Application Data"
"52","1.946401","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=6659 Ack=16563 Win=40960 Len=0"
"53","1.946440","100.86.87.79","104.18.35.30","TLSv1.3","6975","Application Data"
"54","1.963464","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=6659 Ack=19363 Win=40960 Len=0"
"55","1.970138","104.18.35.30","100.86.87.79","TLSv1.3","89","Application Data"
"56","1.970138","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=6694 Ack=29163 Win=40960 Len=0"
"57","1.970138","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=6694 Ack=31963 Win=40960 Len=0"
"58","2.012325","100.86.87.79","104.18.35.30","TCP","54","60994  >  443 [ACK] Seq=33284 Ack=6694 Win=130048 Len=0"
"59","2.019976","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=6694 Ack=33284 Win=40960 Len=0"
"60","2.116281","104.18.35.30","100.86.87.79","TLSv1.3","525","Application Data"
"61","2.116281","104.18.35.30","100.86.87.79","TLSv1.3","136","Application Data, Application Data"
"62","2.116421","100.86.87.79","104.18.35.30","TCP","54","60994  >  443 [ACK] Seq=33284 Ack=7247 Win=131584 Len=0"
"63","4.477540","100.86.87.79","104.18.35.30","TLSv1.3","126","Application Data"
"64","4.477677","100.86.87.79","104.18.35.30","TLSv1.3","4126","Application Data"
"65","4.519914","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=7247 Ack=37428 Win=40960 Len=0"
"66","4.622185","104.18.35.30","100.86.87.79","TLSv1.3","482","Application Data"
"67","4.622483","104.18.35.30","100.86.87.79","TLSv1.3","136","Application Data, Application Data"
"68","4.622557","100.86.87.79","104.18.35.30","TCP","54","60994  >  443 [ACK] Seq=37428 Ack=7757 Win=131072 Len=0"
"69","5.044511","100.86.87.79","104.18.35.30","TLSv1.3","126","Application Data"
"70","5.044683","100.86.87.79","104.18.35.30","TLSv1.3","4092","Application Data"
"71","5.065928","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=7757 Ack=37500 Win=40960 Len=0"
"72","5.065928","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=7757 Ack=40300 Win=40960 Len=0"
"73","5.065928","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=7757 Ack=41538 Win=40960 Len=0"
"74","5.184689","104.18.35.30","100.86.87.79","TLSv1.3","483","Application Data"
"75","5.184689","104.18.35.30","100.86.87.79","TLSv1.3","136","Application Data, Application Data"
"76","5.184796","100.86.87.79","104.18.35.30","TCP","54","60994  >  443 [ACK] Seq=41538 Ack=8268 Win=130560 Len=0"
"77","5.186306","100.86.87.79","104.18.35.30","TLSv1.3","89","Application Data"
"78","5.205573","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=8268 Ack=41573 Win=40960 Len=0"
"79","13.036680","100.86.87.79","104.18.35.30","TLSv1.3","127","Application Data"
"80","13.036824","100.86.87.79","104.18.35.30","TLSv1.3","16460","Application Data"
"81","13.036919","100.86.87.79","104.18.35.30","TLSv1.3","5920","Application Data"
"82","13.054504","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=8268 Ack=41646 Win=40960 Len=0"
"83","13.054504","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=8268 Ack=47246 Win=40960 Len=0"
"84","13.056191","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=8268 Ack=54246 Win=40960 Len=0"
"85","13.056191","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=8268 Ack=58052 Win=40960 Len=0"
"86","13.056191","104.18.35.30","100.86.87.79","TLSv1.3","89","Application Data"
"87","13.056191","104.18.35.30","100.86.87.79","TCP","56","443  >  60994 [ACK] Seq=8303 Ack=63918 Win=40960 Len=0"
"88","13.098605","100.86.87.79","104.18.35.30","TCP","54","60994  >  443 [ACK] Seq=63918 Ack=8303 Win=130304 Len=0"
"89","13.215232","104.18.35.30","100.86.87.79","TLSv1.3","485","Application Data"
"90","13.216048","104.18.35.30","100.86.87.79","TLSv1.3","136","Application Data, Application Data"
"91","13.216191","100.86.87.79","104.18.35.30","TCP","54","60994  >  443 [ACK] Seq=63918 Ack=8816 Win=131584 Len=0"
