No.,Time,Source,Destination,Protocol,Length,Info,,label
1,0,100.86.186.37,157.240.229.35,UDP,619,64722  >  443 Len=577,,2
2,0.000666,100.86.186.37,157.240.229.35,UDP,584,64722  >  443 Len=542,,2
3,0.000901,100.86.186.37,157.240.229.35,UDP,525,64722  >  443 Len=483,,2
4,0.011735,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
5,0.012105,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
6,0.012483,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
7,0.024321,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
8,0.090146,157.240.229.35,100.86.186.37,UDP,1018,443  >  64722 Len=976,,2
9,0.090665,100.86.186.37,157.240.229.35,UDP,82,64722  >  443 Len=40,,2
10,0.090922,157.240.229.35,100.86.186.37,UDP,282,443  >  64722 Len=240,,2
11,0.091278,100.86.186.37,157.240.229.35,UDP,82,64722  >  443 Len=40,,2
12,0.099072,157.240.229.35,100.86.186.37,UDP,282,443  >  64722 Len=240,,2
13,0.099556,100.86.186.37,157.240.229.35,UDP,82,64722  >  443 Len=40,,2
14,0.125039,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
15,1.538474,100.86.186.37,157.240.229.35,UDP,1184,64722  >  443 Len=1142,,2
16,1.562001,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
17,1.572398,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
18,1.710884,157.240.229.35,100.86.186.37,UDP,410,443  >  64722 Len=368,,2
19,1.711271,100.86.186.37,157.240.229.35,UDP,82,64722  >  443 Len=40,,2
20,1.741307,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
21,1.933853,100.86.186.37,157.240.229.35,UDP,1204,64722  >  443 Len=1162,,2
22,1.943311,100.86.186.37,157.240.229.35,UDP,934,64722  >  443 Len=892,,2
23,1.9455,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
24,1.949036,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
25,1.954615,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
26,1.958868,100.86.186.37,157.240.229.35,UDP,77,64722  >  443 Len=35,,2
27,2.03068,157.240.229.35,100.86.186.37,UDP,794,443  >  64722 Len=752,,2
28,2.031619,100.86.186.37,157.240.229.35,UDP,82,64722  >  443 Len=40,,2
29,2.052283,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
30,2.052283,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
31,2.052283,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
32,2.052647,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
33,2.052647,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
34,2.052999,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
35,2.053064,100.86.186.37,157.240.229.35,UDP,82,64722  >  443 Len=40,,2
36,2.053334,157.240.229.35,100.86.186.37,UDP,1274,443  >  64722 Len=1232,,2
37,2.053334,157.240.229.35,100.86.186.37,UDP,90,443  >  64722 Len=48,,2
