No.,Time,Source,Destination,Protocol,Length,Info
1,0,100.86.73.172,140.82.114.3,TCP,66,57644  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
2,0.010289,140.82.114.3,100.86.73.172,TCP,66,"443  >  57644 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM WS=1024"
3,0.010463,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0
4,0.011267,100.86.73.172,140.82.114.3,TLSv1.3,663,Client Hello (SNI=github.com)
5,0.021652,140.82.114.3,100.86.73.172,TLSv1.3,1490,"Server Hello, Change Cipher Spec, Application Data"
6,0.022046,140.82.114.3,100.86.73.172,TCP,1490,"443  >  57644 [PSH, ACK] Seq=1437 Ack=610 Win=67584 Len=1436 [TCP segment of a reassembled PDU]"
7,0.022046,140.82.114.3,100.86.73.172,TLSv1.3,674,"Application Data, Application Data, Application Data"
8,0.022146,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=610 Ack=3493 Win=132096 Len=0
9,0.03046,100.86.73.172,140.82.114.3,TLSv1.3,118,"Change Cipher Spec, Application Data"
10,0.041286,140.82.114.3,100.86.73.172,TLSv1.3,212,"Application Data, Application Data"
11,0.041407,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=674 Ack=3651 Win=131840 Len=0
12,0.174158,100.86.73.172,140.82.114.3,TLSv1.3,146,Application Data
13,0.174351,100.86.73.172,140.82.114.3,TLSv1.3,1533,Application Data
14,0.184081,140.82.114.3,100.86.73.172,TLSv1.3,118,Application Data
15,0.18432,100.86.73.172,140.82.114.3,TLSv1.3,85,Application Data
16,0.184471,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=3715 Ack=2245 Win=70656 Len=0
17,0.242041,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=3715 Ack=2276 Win=70656 Len=0
18,0.654852,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
19,0.655125,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
20,0.655208,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=2276 Ack=8023 Win=132096 Len=0
21,0.655697,140.82.114.3,100.86.73.172,TLSv1.3,8670,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
22,0.655817,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=2276 Ack=16639 Win=132096 Len=0
23,0.656384,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
24,0.656456,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=2276 Ack=18075 Win=132096 Len=0
25,0.665489,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
26,0.66586,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
27,0.665935,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=2276 Ack=22383 Win=132096 Len=0
28,0.666313,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data, Application Data"
29,0.666403,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=2276 Ack=25255 Win=132096 Len=0
30,0.670252,140.82.114.3,100.86.73.172,TLSv1.3,21594,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
31,0.670378,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=2276 Ack=46795 Win=132096 Len=0
32,0.676309,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
33,0.676947,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
34,0.67702,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=2276 Ack=51103 Win=132096 Len=0
35,0.677112,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
36,0.677146,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=2276 Ack=52539 Win=132096 Len=0
37,0.679258,140.82.114.3,100.86.73.172,TLSv1.3,5798,"Application Data, Application Data, Application Data, Application Data, Application Data"
38,0.6794,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=2276 Ack=58283 Win=132096 Len=0
39,0.680496,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
40,0.680964,140.82.114.3,100.86.73.172,TLSv1.3,1037,Application Data
41,0.681033,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=2276 Ack=60702 Win=132096 Len=0
42,1.125639,100.86.73.172,140.82.114.3,TLSv1.3,754,Application Data
43,1.127144,100.86.73.172,140.82.114.3,TLSv1.3,174,Application Data
44,1.135973,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=60702 Ack=2976 Win=72704 Len=0
45,1.137127,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=60702 Ack=3096 Win=72704 Len=0
46,1.168227,100.86.73.172,140.82.114.3,TLSv1.3,232,Application Data
47,1.169953,100.86.73.172,140.82.114.3,TLSv1.3,182,Application Data
48,1.171038,100.86.73.172,140.82.114.3,TLSv1.3,184,Application Data
49,1.172136,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
50,1.172177,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=3532 Ack=62138 Win=132096 Len=0
51,1.172559,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
52,1.172587,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=3532 Ack=65010 Win=132096 Len=0
53,1.172847,140.82.114.3,100.86.73.172,TLSv1.3,61,Application Data
54,1.172871,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=3532 Ack=65017 Win=132096 Len=0
55,1.17462,100.86.73.172,140.82.114.3,TLSv1.3,223,Application Data
56,1.180274,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=65017 Ack=3402 Win=78848 Len=0
57,1.185213,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=65017 Ack=3701 Win=84992 Len=0
58,1.197043,100.86.73.172,140.82.114.3,TLSv1.3,752,Application Data
59,1.197148,100.86.73.172,140.82.114.3,TLSv1.3,867,Application Data
60,1.208989,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=65017 Ack=5212 Win=90112 Len=0
61,1.222298,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
62,1.222536,100.86.73.172,140.82.114.3,TLSv1.3,227,Application Data
63,1.222792,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
64,1.222839,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=5385 Ack=69325 Win=132096 Len=0
65,1.223078,140.82.114.3,100.86.73.172,TLSv1.3,57,Application Data
66,1.231425,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
67,1.231517,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=5385 Ack=70764 Win=132096 Len=0
68,1.23253,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
69,1.23253,140.82.114.3,100.86.73.172,TCP,230,"[TCP Previous segment not captured] 443  >  57644 [PSH, ACK] Seq=73636 Ack=5212 Win=90112 Len=176 [TCP segment of a reassembled PDU]"
70,1.232568,100.86.73.172,140.82.114.3,TCP,66,57644  >  443 [ACK] Seq=5385 Ack=72200 Win=132096 Len=0 SLE=73636 SRE=73812
71,1.242456,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
72,1.242456,140.82.114.3,100.86.73.172,TLSv1.3,1423,"Application Data, Application Data"
73,1.242492,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 70#1] 57644  >  443 [ACK] Seq=5385 Ack=72200 Win=132096 Len=0 SLE=73636 SRE=76684
74,1.242534,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 70#2] 57644  >  443 [ACK] Seq=5385 Ack=72200 Win=132096 Len=0 SLE=73636 SRE=78053
75,1.252665,140.82.114.3,100.86.73.172,TLSv1.3,1490,"[TCP Fast Retransmission] , Application Data"
76,1.252725,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=5385 Ack=78053 Win=132096 Len=0
77,1.25853,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
78,1.258577,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=5385 Ack=79489 Win=132096 Len=0
79,1.263039,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
80,1.263168,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
81,1.263168,140.82.114.3,100.86.73.172,TLSv1.3,91,Application Data
82,1.263213,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=5385 Ack=82398 Win=132096 Len=0
83,1.265488,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
84,1.265522,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=5385 Ack=83834 Win=132096 Len=0
85,1.265924,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
86,1.265924,140.82.114.3,100.86.73.172,TLSv1.3,1413,"Application Data, Application Data"
87,1.265964,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=5385 Ack=86629 Win=132096 Len=0
88,1.271267,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
89,1.271755,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
90,1.271788,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=5385 Ack=90937 Win=132096 Len=0
91,1.272138,140.82.114.3,100.86.73.172,TLSv1.3,69,Application Data
92,1.272158,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=5385 Ack=90952 Win=132096 Len=0
93,1.273755,100.86.73.172,140.82.114.3,TLSv1.3,747,Application Data
94,1.311344,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
95,1.311344,140.82.114.3,100.86.73.172,TLSv1.3,1334,Application Data
96,1.311489,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=6078 Ack=95104 Win=132096 Len=0
97,1.330094,140.82.114.3,100.86.73.172,TLSv1.3,4362,"Application Data, Application Data, Application Data"
98,1.330094,140.82.114.3,100.86.73.172,TLSv1.3,77,Application Data
99,1.330162,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=6078 Ack=99435 Win=132096 Len=0
100,1.43179,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
101,1.432235,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
102,1.432279,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=6078 Ack=103743 Win=132096 Len=0
103,1.432713,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
104,1.432742,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=6078 Ack=106615 Win=132096 Len=0
105,1.433399,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
106,1.433399,140.82.114.3,100.86.73.172,TLSv1.3,307,Application Data
107,1.433435,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=6078 Ack=108304 Win=132096 Len=0
108,6.869173,100.86.73.172,140.82.114.3,TLSv1.3,737,Application Data
109,6.925687,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=108304 Ack=6761 Win=99328 Len=0
110,6.952786,140.82.114.3,100.86.73.172,TLSv1.3,4362,"Application Data, Application Data, Application Data"
111,6.952903,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=6761 Ack=112612 Win=132096 Len=0
112,6.954883,140.82.114.3,100.86.73.172,TLSv1.3,1471,"Application Data, Application Data"
113,6.954956,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=6761 Ack=114029 Win=130560 Len=0
114,6.958215,100.86.73.172,140.82.114.3,TLSv1.3,89,Application Data
115,6.968057,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=114029 Ack=6796 Win=99328 Len=0
116,7.441787,100.86.73.172,140.82.114.3,TLSv1.3,780,Application Data
117,7.452355,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=114029 Ack=7522 Win=101376 Len=0
118,7.729205,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
119,7.729574,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
120,7.729653,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=7522 Ack=118337 Win=132096 Len=0
121,7.731957,140.82.114.3,100.86.73.172,TLSv1.3,28774,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
122,7.731957,140.82.114.3,100.86.73.172,TLSv1.3,631,"Application Data, Application Data"
123,7.731957,140.82.114.3,100.86.73.172,TLSv1.3,12978,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
124,7.732232,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=7522 Ack=160558 Win=132096 Len=0
125,7.736178,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
126,7.736304,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=7522 Ack=163430 Win=132096 Len=0
127,7.742994,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
128,7.743098,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=7522 Ack=164866 Win=132096 Len=0
129,7.74332,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
130,7.743406,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=7522 Ack=167738 Win=132096 Len=0
131,7.745461,140.82.114.3,100.86.73.172,TCP,1490,[TCP Previous segment not captured] 443  >  57644 [ACK] Seq=169174 Ack=7522 Win=101376 Len=1436 [TCP segment of a reassembled PDU]
132,7.745508,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 130#1] 57644  >  443 [ACK] Seq=7522 Ack=167738 Win=132096 Len=0 SLE=169174 SRE=170610
133,7.745961,140.82.114.3,100.86.73.172,TLSv1.3,2926,Continuation Data
134,7.74603,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 130#2] 57644  >  443 [ACK] Seq=7522 Ack=167738 Win=132096 Len=0 SLE=169174 SRE=173482
135,7.74707,140.82.114.3,100.86.73.172,TLSv1.3,4362,Continuation Data
136,7.74707,140.82.114.3,100.86.73.172,TLSv1.3,7234,"[TCP Previous segment not captured] , Continuation Data"
137,7.747167,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 130#3] 57644  >  443 [ACK] Seq=7522 Ack=167738 Win=132096 Len=0 SLE=169174 SRE=177790
138,7.747257,100.86.73.172,140.82.114.3,TCP,74,[TCP Dup ACK 130#4] 57644  >  443 [ACK] Seq=7522 Ack=167738 Win=132096 Len=0 SLE=179226 SRE=186406 SLE=169174 SRE=177790
139,7.747391,140.82.114.3,100.86.73.172,TLSv1.3,368,Continuation Data
140,7.747436,100.86.73.172,140.82.114.3,TCP,74,[TCP Dup ACK 130#5] 57644  >  443 [ACK] Seq=7522 Ack=167738 Win=132096 Len=0 SLE=179226 SRE=186720 SLE=169174 SRE=177790
141,7.757792,140.82.114.3,100.86.73.172,TLSv1.3,1490,"[TCP Fast Retransmission] , Application Data"
142,7.757931,100.86.73.172,140.82.114.3,TCP,66,57644  >  443 [ACK] Seq=7522 Ack=177790 Win=132096 Len=0 SLE=179226 SRE=186720
143,7.758269,140.82.114.3,100.86.73.172,TCP,1490,[TCP Retransmission] 443  >  57644 [ACK] Seq=177790 Ack=7522 Win=101376 Len=1436
144,7.758399,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=7522 Ack=186720 Win=132096 Len=0
145,8.322017,100.86.73.172,140.82.114.3,TLSv1.3,1405,Application Data
146,8.322945,100.86.73.172,140.82.114.3,TLSv1.3,204,Application Data
147,8.332828,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=186720 Ack=8873 Win=104448 Len=0
148,8.333621,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=186720 Ack=9023 Win=107520 Len=0
149,8.366071,140.82.114.3,100.86.73.172,TCP,1490,[TCP Previous segment not captured] 443  >  57644 [ACK] Seq=188156 Ack=9023 Win=107520 Len=1436 [TCP segment of a reassembled PDU]
150,8.366104,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 144#1] 57644  >  443 [ACK] Seq=9023 Ack=186720 Win=132096 Len=0 SLE=188156 SRE=189592
151,8.366581,140.82.114.3,100.86.73.172,TLSv1.3,1427,Continuation Data
152,8.366609,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 144#2] 57644  >  443 [ACK] Seq=9023 Ack=186720 Win=132096 Len=0 SLE=188156 SRE=190965
153,8.386414,140.82.114.3,100.86.73.172,TLSv1.3,1490,"[TCP Fast Retransmission] , Application Data"
154,8.386465,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=9023 Ack=190965 Win=132096 Len=0
155,8.81564,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
156,8.816088,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
157,8.816134,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=9023 Ack=195273 Win=132096 Len=0
158,8.817235,140.82.114.3,100.86.73.172,TLSv1.3,15850,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
159,8.817235,140.82.114.3,100.86.73.172,TLSv1.3,964,"Application Data, Application Data"
160,8.817295,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=9023 Ack=211979 Win=132096 Len=0
161,8.817613,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
162,8.817643,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=9023 Ack=214851 Win=132096 Len=0
163,8.828246,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
164,8.828296,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=9023 Ack=216287 Win=132096 Len=0
165,8.828641,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
166,8.828678,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=9023 Ack=219159 Win=132096 Len=0
167,8.829703,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
168,8.829758,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=9023 Ack=222031 Win=132096 Len=0
169,8.830061,140.82.114.3,100.86.73.172,TLSv1.3,216,Application Data
170,8.870678,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=9023 Ack=222193 Win=131840 Len=0
171,9.137898,100.86.73.172,140.82.114.3,TLSv1.3,683,Application Data
172,9.193632,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=222193 Ack=9652 Win=110592 Len=0
173,9.235001,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
174,9.235399,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
175,9.235454,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=9652 Ack=226501 Win=132096 Len=0
176,9.236317,140.82.114.3,100.86.73.172,TLSv1.3,11542,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
177,9.236369,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=9652 Ack=237989 Win=132096 Len=0
178,9.237316,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
179,9.237316,140.82.114.3,100.86.73.172,TLSv1.3,544,Application Data
180,9.237373,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=9652 Ack=239915 Win=132096 Len=0
181,9.833404,100.86.73.172,140.82.114.3,TLSv1.3,815,Application Data
182,9.843381,140.82.114.3,100.86.73.172,TCP,56,443  >  57644 [ACK] Seq=239915 Ack=10413 Win=113664 Len=0
183,10.129474,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
184,10.12976,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
185,10.12986,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=10413 Ack=244223 Win=132096 Len=0
186,10.131041,140.82.114.3,100.86.73.172,TLSv1.3,17286,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
187,10.131188,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=10413 Ack=261455 Win=132096 Len=0
188,10.131448,140.82.114.3,100.86.73.172,TCP,2926,"[TCP Previous segment not captured] 443  >  57644 [PSH, ACK] Seq=262891 Ack=10413 Win=113664 Len=2872 [TCP segment of a reassembled PDU], Application Data"
189,10.131521,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 187#1] 57644  >  443 [ACK] Seq=10413 Ack=261455 Win=132096 Len=0 SLE=262891 SRE=265763
190,10.14103,140.82.114.3,100.86.73.172,TLSv1.3,1490,Continuation Data
191,10.141134,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 187#2] 57644  >  443 [ACK] Seq=10413 Ack=261455 Win=132096 Len=0 SLE=262891 SRE=267199
192,10.141361,140.82.114.3,100.86.73.172,TLSv1.3,1490,Continuation Data
193,10.14141,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 187#3] 57644  >  443 [ACK] Seq=10413 Ack=261455 Win=132096 Len=0 SLE=262891 SRE=268635
194,10.141876,140.82.114.3,100.86.73.172,TLSv1.3,2926,Continuation Data
195,10.141923,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 187#4] 57644  >  443 [ACK] Seq=10413 Ack=261455 Win=132096 Len=0 SLE=262891 SRE=271507
196,10.143005,140.82.114.3,100.86.73.172,TLSv1.3,11542,Continuation Data
197,10.143082,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 187#5] 57644  >  443 [ACK] Seq=10413 Ack=261455 Win=132096 Len=0 SLE=262891 SRE=282995
198,10.144451,140.82.114.3,100.86.73.172,TLSv1.3,1490,Continuation Data
199,10.144451,140.82.114.3,100.86.73.172,TLSv1.3,1490,Continuation Data
200,10.144494,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 187#6] 57644  >  443 [ACK] Seq=10413 Ack=261455 Win=132096 Len=0 SLE=262891 SRE=284431
201,10.144568,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 187#7] 57644  >  443 [ACK] Seq=10413 Ack=261455 Win=132096 Len=0 SLE=262891 SRE=285867
202,10.144942,140.82.114.3,100.86.73.172,TLSv1.3,2926,Continuation Data
203,10.144997,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 187#8] 57644  >  443 [ACK] Seq=10413 Ack=261455 Win=132096 Len=0 SLE=262891 SRE=288739
204,10.152084,140.82.114.3,100.86.73.172,TLSv1.3,1490,"[TCP Fast Retransmission] , Application Data"
205,10.152227,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=10413 Ack=288739 Win=132096 Len=0
206,10.15278,140.82.114.3,100.86.73.172,TLSv1.3,1490,Continuation Data
207,10.152856,100.86.73.172,140.82.114.3,TCP,54,57644  >  443 [ACK] Seq=10413 Ack=290175 Win=132096 Len=0
208,10.153597,140.82.114.3,100.86.73.172,TLSv1.3,1490,Continuation Data
209,10.155987,140.82.114.3,100.86.73.172,TLSv1.3,5798,"[TCP Previous segment not captured] , Continuation Data"
210,10.156087,100.86.73.172,140.82.114.3,TCP,66,57644  >  443 [ACK] Seq=10413 Ack=291611 Win=132096 Len=0 SLE=293047 SRE=298791
