No.,Time,Source,Destination,Protocol,Length,Info
1,0,100.86.73.172,140.82.114.3,TCP,66,62473  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
2,0.011812,140.82.114.3,100.86.73.172,TCP,66,"443  >  62473 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM WS=1024"
3,0.011996,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0
4,0.012979,100.86.73.172,140.82.114.3,TLSv1.3,695,Client Hello (SNI=github.com)
5,0.024032,140.82.114.3,100.86.73.172,TLSv1.3,1490,"Server Hello, Change Cipher Spec, Application Data"
6,0.024429,140.82.114.3,100.86.73.172,TCP,1490,443  >  62473 [ACK] Seq=1437 Ack=642 Win=67584 Len=1436 [TCP segment of a reassembled PDU]
7,0.024429,140.82.114.3,100.86.73.172,TLSv1.3,674,"Application Data, Application Data, Application Data"
8,0.024518,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=642 Ack=3493 Win=132096 Len=0
9,0.032407,100.86.73.172,140.82.114.3,TLSv1.3,118,"Change Cipher Spec, Application Data"
10,0.032924,100.86.73.172,140.82.114.3,TLSv1.3,146,Application Data
11,0.033403,100.86.73.172,140.82.114.3,TLSv1.3,1579,Application Data
12,0.043944,140.82.114.3,100.86.73.172,TLSv1.3,133,Application Data
13,0.044431,140.82.114.3,100.86.73.172,TLSv1.3,133,Application Data
14,0.044431,140.82.114.3,100.86.73.172,TLSv1.3,118,Application Data
15,0.044546,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=2323 Ack=3715 Win=131840 Len=0
16,0.044992,100.86.73.172,140.82.114.3,TLSv1.3,85,Application Data
17,0.100096,140.82.114.3,100.86.73.172,TCP,56,443  >  62473 [ACK] Seq=3715 Ack=2354 Win=70656 Len=0
18,0.472143,140.82.114.3,100.86.73.172,TLSv1.3,4362,"Application Data, Application Data, Application Data"
19,0.472143,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
20,0.472143,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
21,0.472143,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
22,0.472143,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
23,0.472143,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
24,0.472143,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
25,0.472143,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
26,0.472297,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=2354 Ack=19511 Win=132096 Len=0
27,0.482507,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
28,0.48256,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=2354 Ack=20947 Win=132096 Len=0
29,0.482883,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
30,0.482921,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=2354 Ack=23819 Win=132096 Len=0
31,0.484962,140.82.114.3,100.86.73.172,TLSv1.3,23030,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
32,0.485031,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=2354 Ack=46795 Win=132096 Len=0
33,0.486862,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
34,0.486909,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=2354 Ack=49667 Win=132096 Len=0
35,0.492701,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
36,0.493631,140.82.114.3,100.86.73.172,TLSv1.3,5798,"Application Data, Application Data, Application Data, Application Data, Application Data"
37,0.493677,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=2354 Ack=56847 Win=132096 Len=0
38,0.494812,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
39,0.494855,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=2354 Ack=58283 Win=132096 Len=0
40,0.495171,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
41,0.495639,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
42,0.495688,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=2354 Ack=62591 Win=132096 Len=0
43,0.496949,140.82.114.3,100.86.73.172,TLSv1.3,11542,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
44,0.49699,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=2354 Ack=74079 Win=132096 Len=0
45,0.497375,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
46,0.497375,140.82.114.3,100.86.73.172,TLSv1.3,1208,"Application Data, Application Data"
47,0.497417,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=2354 Ack=76669 Win=132096 Len=0
48,0.773623,100.86.73.172,140.82.114.3,TLSv1.3,799,Application Data
49,0.785996,140.82.114.3,100.86.73.172,TCP,56,443  >  62473 [ACK] Seq=76669 Ack=3099 Win=73728 Len=0
50,0.884665,100.86.73.172,140.82.114.3,TLSv1.3,176,Application Data
51,0.894623,140.82.114.3,100.86.73.172,TCP,56,443  >  62473 [ACK] Seq=76669 Ack=3221 Win=73728 Len=0
52,0.926498,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
53,0.926923,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
54,0.926923,140.82.114.3,100.86.73.172,TLSv1.3,1405,"Application Data, Application Data"
55,0.926962,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=3221 Ack=80892 Win=132096 Len=0
56,1.046966,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
57,1.047428,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
58,1.047459,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=3221 Ack=83764 Win=132096 Len=0
59,1.047976,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
60,1.04801,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=3221 Ack=86636 Win=132096 Len=0
61,1.050078,140.82.114.3,100.86.73.172,TLSv1.3,14414,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
62,1.050078,140.82.114.3,100.86.73.172,TLSv1.3,946,"Application Data, Application Data"
63,1.050078,140.82.114.3,100.86.73.172,TLSv1.3,10106,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
64,1.050149,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=3221 Ack=111940 Win=132096 Len=0
65,1.050594,140.82.114.3,100.86.73.172,TLSv1.3,227,Application Data
66,1.090347,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=3221 Ack=112113 Win=131840 Len=0
67,3.107498,100.86.73.172,140.82.114.3,TLSv1.3,734,Application Data
68,3.163775,140.82.114.3,100.86.73.172,TCP,56,443  >  62473 [ACK] Seq=112113 Ack=3901 Win=75776 Len=0
69,3.327229,140.82.114.3,100.86.73.172,TLSv1.3,4362,"Application Data, Application Data, Application Data"
70,3.327346,100.86.73.172,140.82.114.3,TCP,54,62473  >  443 [ACK] Seq=3901 Ack=116421 Win=132096 Len=0
71,3.330046,140.82.114.3,100.86.73.172,TLSv1.3,15850,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
72,3.330046,140.82.114.3,100.86.73.172,TLSv1.3,948,"Application Data, Application Data"
73,3.330046,140.82.114.3,100.86.73.172,TLSv1.3,11542,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
74,3.330046,140.82.114.3,100.86.73.172,TLSv1.3,1145,"Application Data, Application Data"
75,3.330046,140.82.114.3,100.86.73.172,TLSv1.3,7234,"Application Data, Application Data, Application Data, Application Data, Application Data"
76,3.330046,140.82.114.3,100.86.73.172,TCP,7234,"[TCP Previous segment not captured] 443  >  62473 [ACK] Seq=154306 Ack=3901 Win=75776 Len=7180 [TCP segment of a reassembled PDU], Application Data, Application Data, Application Data, Application Data"
77,3.330046,140.82.114.3,100.86.73.172,TLSv1.3,915,Continuation Data
78,3.330046,140.82.114.3,100.86.73.172,TLSv1.3,11542,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data"
79,3.330318,100.86.73.172,140.82.114.3,TCP,66,62473  >  443 [ACK] Seq=3901 Ack=152870 Win=132096 Len=0 SLE=154306 SRE=161486
80,3.330419,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 79#1] 62473  >  443 [ACK] Seq=3901 Ack=152870 Win=132096 Len=0 SLE=154306 SRE=162347
81,3.330492,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 79#2] 62473  >  443 [ACK] Seq=3901 Ack=152870 Win=132096 Len=0 SLE=154306 SRE=173835
82,3.330691,140.82.114.3,100.86.73.172,TLSv1.3,2926,"Application Data, Application Data"
83,3.330749,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 79#3] 62473  >  443 [ACK] Seq=3901 Ack=152870 Win=132096 Len=0 SLE=154306 SRE=176707
84,3.330938,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
85,3.330938,140.82.114.3,100.86.73.172,TLSv1.3,915,Application Data
86,3.331,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 79#4] 62473  >  443 [ACK] Seq=3901 Ack=152870 Win=132096 Len=0 SLE=154306 SRE=178143
87,3.331093,100.86.73.172,140.82.114.3,TCP,66,[TCP Dup ACK 79#5] 62473  >  443 [ACK] Seq=3901 Ack=152870 Win=132096 Len=0 SLE=154306 SRE=179004
88,3.339794,140.82.114.3,100.86.73.172,TLSv1.3,1490,Application Data
