"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.31","52.3.144.142","TLSv1.2","118","Application Data"
"2","0.000028","192.168.1.31","52.3.144.142","TLSv1.2","93","Application Data"
"3","0.016127","52.3.144.142","192.168.1.31","TCP","60","443  >  56483 [ACK] Seq=1 Ack=104 Win=68 Len=0"
"4","0.016873","52.3.144.142","192.168.1.31","TLSv1.2","93","Application Data"
"5","0.059521","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=40 Win=1025 Len=0"
"6","0.299244","52.3.144.142","192.168.1.31","TLSv1.2","301","Application Data"
"7","0.299791","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=287 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"8","0.299791","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=1747 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"9","0.299791","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [PSH, ACK] Seq=3207 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"10","0.299805","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=4667 Win=1026 Len=0"
"11","0.300269","52.3.144.142","192.168.1.31","TLSv1.2","896","Application Data"
"12","0.300397","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=5509 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"13","0.300397","52.3.144.142","192.168.1.31","TLSv1.2","1055","Application Data"
"14","0.300409","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=7970 Win=1026 Len=0"
"15","0.300897","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=7970 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"16","0.300897","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=9430 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"17","0.300911","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=10890 Win=1026 Len=0"
"18","0.301356","52.3.144.142","192.168.1.31","TLSv1.2","1198","Application Data"
"19","0.301367","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=12034 Win=1022 Len=0"
"20","0.301940","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=12034 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"21","0.301958","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=13494 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"22","0.301964","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=14954 Win=1026 Len=0"
"23","0.302424","52.3.144.142","192.168.1.31","TLSv1.2","1254","Application Data"
"24","0.302424","52.3.144.142","192.168.1.31","TLSv1.2","253","Application Data"
"25","0.302433","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=16353 Win=1021 Len=0"
"26","0.303380","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=16353 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"27","0.303861","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=17813 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"28","0.303861","52.3.144.142","192.168.1.31","TLSv1.2","249","Application Data"
"29","0.303873","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=19468 Win=1026 Len=0"
"30","0.304603","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=19468 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"31","0.304627","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=20928 Win=1026 Len=0"
"32","0.305075","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=20928 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"33","0.305075","52.3.144.142","192.168.1.31","TLSv1.2","913","Application Data"
"34","0.305102","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=23247 Win=1026 Len=0"
"35","0.305282","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=23247 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"36","0.305282","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=24707 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"37","0.305282","52.3.144.142","192.168.1.31","TLSv1.2","1100","Application Data"
"38","0.305296","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=27213 Win=1026 Len=0"
"39","0.306845","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=27213 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"40","0.306845","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=28673 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"41","0.306845","52.3.144.142","192.168.1.31","TLSv1.2","442","Application Data"
"42","0.306867","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=30521 Win=1026 Len=0"
"43","0.307496","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=30521 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"44","0.307951","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=31981 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"45","0.307951","52.3.144.142","192.168.1.31","TLSv1.2","122","Application Data"
"46","0.307951","52.3.144.142","192.168.1.31","TLSv1.2","459","Application Data"
"47","0.307971","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=104 Ack=33914 Win=1026 Len=0"
"48","0.308426","192.168.1.31","52.3.144.142","TLSv1.2","89","Application Data"
"49","0.310107","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=33914 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"50","0.310127","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=139 Ack=35374 Win=1026 Len=0"
"51","0.310568","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=35374 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"52","0.310576","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=139 Ack=36834 Win=1026 Len=0"
"53","0.310588","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [PSH, ACK] Seq=36834 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"54","0.310591","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=139 Ack=38294 Win=1026 Len=0"
"55","0.310958","52.3.144.142","192.168.1.31","TLSv1.2","234","Application Data"
"56","0.310961","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=139 Ack=38474 Win=1025 Len=0"
"57","0.310982","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=38474 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"58","0.310985","192.168.1.31","52.3.144.142","TCP","54","56483  >  443 [ACK] Seq=139 Ack=39934 Win=1026 Len=0"
"59","0.310995","52.3.144.142","192.168.1.31","TCP","1514","443  >  56483 [ACK] Seq=39934 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]"
"60","0.310995","52.3.144.142","192.168.1.31","TLSv1.2","434","Application Data"
