"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.87.79","34.120.52.64","TCP","66","58535  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.000654","100.86.87.79","34.120.52.64","TCP","66","58536  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3","0.000802","100.86.87.79","34.120.52.64","TCP","66","58537  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","0.017955","34.120.52.64","100.86.87.79","TCP","66","443  >  58535 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"5","0.018187","100.86.87.79","34.120.52.64","TCP","54","58535  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"6","0.018596","100.86.87.79","34.120.52.64","TLSv1.3","571","Client Hello (SNI=overleaf.com)"
"7","0.018627","34.120.52.64","100.86.87.79","TCP","66","80  >  58536 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"8","0.018712","100.86.87.79","34.120.52.64","TCP","54","58536  >  80 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"9","0.018752","34.120.52.64","100.86.87.79","TCP","66","80  >  58537 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"10","0.018802","100.86.87.79","34.120.52.64","TCP","54","58537  >  80 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"11","0.029744","34.120.52.64","100.86.87.79","TCP","56","443  >  58535 [ACK] Seq=1 Ack=518 Win=66816 Len=0"
"12","0.033217","34.120.52.64","100.86.87.79","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"13","0.033217","34.120.52.64","100.86.87.79","TCP","690","443  >  58535 [PSH, ACK] Seq=1413 Ack=518 Win=66816 Len=636 [TCP segment of a reassembled PDU]"
