"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.111.80","23.12.147.175","TCP","66","64109  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.019513","23.12.147.175","100.86.111.80","TCP","66","443  >  64109 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"3","0.019730","100.86.111.80","23.12.147.175","TCP","54","64109  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"4","0.020695","100.86.111.80","23.12.147.175","TCP","1514","64109  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"5","0.020695","100.86.111.80","23.12.147.175","TLSv1.3","356","Client Hello (SNI=dias.bank.truist.com)"
"6","0.061353","100.86.111.80","23.12.147.175","TCP","1514","[TCP Retransmission] 64109  >  443 [PSH, ACK] Seq=303 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"7","0.069801","23.12.147.175","100.86.111.80","TCP","56","443  >  64109 [ACK] Seq=1 Ack=1763 Win=64128 Len=0"
"8","0.070162","23.12.147.175","100.86.111.80","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"9","0.070162","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [PSH, ACK] Seq=1461 Ack=1763 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"10","0.070299","100.86.111.80","23.12.147.175","TCP","54","64109  >  443 [ACK] Seq=1763 Ack=2921 Win=65536 Len=0"
"11","0.070445","23.12.147.175","100.86.111.80","TLSv1.3","1230","Application Data"
"12","0.070445","23.12.147.175","100.86.111.80","TLSv1.3","202","Application Data, Application Data"
"13","0.070549","100.86.111.80","23.12.147.175","TCP","54","64109  >  443 [ACK] Seq=1763 Ack=4245 Win=64256 Len=0"
"14","0.078278","23.12.147.175","100.86.111.80","TCP","202","[TCP Spurious Retransmission] 443  >  64109 [PSH, ACK] Seq=4097 Ack=1763 Win=64128 Len=148"
"15","0.078419","100.86.111.80","23.12.147.175","TCP","66","[TCP Dup ACK 13#1] 64109  >  443 [ACK] Seq=1763 Ack=4245 Win=64256 Len=0 SLE=4097 SRE=4245"
"16","0.079213","100.86.111.80","23.12.147.175","TLSv1.3","134","Change Cipher Spec, Application Data"
"17","0.080003","100.86.111.80","23.12.147.175","TLSv1.3","146","Application Data"
"18","0.080089","100.86.111.80","23.12.147.175","TLSv1.3","446","Application Data"
"19","0.082524","23.12.147.175","100.86.111.80","TCP","66","[TCP Dup ACK 7#1] 443  >  64109 [ACK] Seq=4245 Ack=1763 Win=64128 Len=0 SLE=303 SRE=1763"
"20","0.097593","23.12.147.175","100.86.111.80","TCP","56","443  >  64109 [ACK] Seq=4245 Ack=1843 Win=64128 Len=0"
"21","0.097841","23.12.147.175","100.86.111.80","TCP","56","443  >  64109 [ACK] Seq=4245 Ack=2327 Win=64128 Len=0"
"22","0.097841","23.12.147.175","100.86.111.80","TLSv1.3","341","Application Data"
"23","0.097841","23.12.147.175","100.86.111.80","TLSv1.3","341","Application Data"
"24","0.098210","100.86.111.80","23.12.147.175","TCP","54","64109  >  443 [ACK] Seq=2327 Ack=4819 Win=65536 Len=0"
"25","0.108406","23.12.147.175","100.86.111.80","TLSv1.3","115","Application Data"
"26","0.108406","23.12.147.175","100.86.111.80","TLSv1.3","85","Application Data"
"27","0.108623","100.86.111.80","23.12.147.175","TCP","54","64109  >  443 [ACK] Seq=2327 Ack=4911 Win=65536 Len=0"
"28","0.109746","100.86.111.80","23.12.147.175","TLSv1.3","85","Application Data"
"29","0.168500","23.12.147.175","100.86.111.80","TCP","56","443  >  64109 [ACK] Seq=4911 Ack=2358 Win=64128 Len=0"
"30","0.254309","23.12.147.175","100.86.111.80","TLSv1.3","573","Application Data"
"31","0.254668","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=5430 Ack=2358 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"32","0.254668","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [PSH, ACK] Seq=6890 Ack=2358 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"33","0.254758","100.86.111.80","23.12.147.175","TCP","54","64109  >  443 [ACK] Seq=2358 Ack=8350 Win=65536 Len=0"
"34","0.255060","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [ACK] Seq=8350 Ack=2358 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"35","0.255060","23.12.147.175","100.86.111.80","TCP","1514","443  >  64109 [PSH, ACK] Seq=9810 Ack=2358 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"36","0.255141","100.86.111.80","23.12.147.175","TCP","54","64109  >  443 [ACK] Seq=2358 Ack=11270 Win=65536 Len=0"
