No.,Time,Source,Destination,Protocol,Length,Info,label
1,0,100.86.186.37,34.98.127.226,TCP,66,52690  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,3
2,0.014845,34.98.127.226,100.86.186.37,TCP,66,"443  >  52690 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256",3
3,0.015074,100.86.186.37,34.98.127.226,TCP,54,52690  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0,3
4,0.016235,100.86.186.37,34.98.127.226,TLSv1.3,650,Client Hello (SNI=www.uber.com),3
5,0.026986,34.98.127.226,100.86.186.37,TCP,56,443  >  52690 [ACK] Seq=1 Ack=597 Win=66816 Len=0,3
6,0.029709,34.98.127.226,100.86.186.37,TLSv1.3,1466,"Server Hello, Change Cipher Spec",3
7,0.030984,34.98.127.226,100.86.186.37,TCP,690,"443  >  52690 [PSH, ACK] Seq=1413 Ack=597 Win=66816 Len=636 [TCP segment of a reassembled PDU]",3
8,0.030984,34.98.127.226,100.86.186.37,TLSv1.3,1444,Application Data,3
9,0.03121,100.86.186.37,34.98.127.226,TCP,54,52690  >  443 [ACK] Seq=597 Ack=3439 Win=131072 Len=0,3
10,0.033936,100.86.186.37,34.98.127.226,TLSv1.3,118,"Change Cipher Spec, Application Data",3
11,0.034244,100.86.186.37,34.98.127.226,TLSv1.3,146,Application Data,3
12,0.034373,100.86.186.37,34.98.127.226,TLSv1.3,546,Application Data,3
13,0.049134,34.98.127.226,100.86.186.37,TCP,56,443  >  52690 [ACK] Seq=3439 Ack=1245 Win=68096 Len=0,3
14,0.049705,34.98.127.226,100.86.186.37,TLSv1.3,85,"[TCP Previous segment not captured] , Application Data",3
15,0.04978,100.86.186.37,34.98.127.226,TCP,66,[TCP Dup ACK 9#1] 52690  >  443 [ACK] Seq=1245 Ack=3439 Win=131072 Len=0 SLE=4057 SRE=4088,3
16,0.066389,34.98.127.226,100.86.186.37,TCP,672,"[TCP Retransmission] 443  >  52690 [PSH, ACK] Seq=3439 Ack=1245 Win=68096 Len=618",3
17,0.066526,100.86.186.37,34.98.127.226,TCP,54,52690  >  443 [ACK] Seq=1245 Ack=4088 Win=130560 Len=0,3
18,0.066797,100.86.186.37,34.98.127.226,TLSv1.3,85,Application Data,3
19,0.084524,34.98.127.226,100.86.186.37,TCP,56,443  >  52690 [ACK] Seq=4088 Ack=1276 Win=68096 Len=0,3
20,0.093178,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
21,0.093178,34.98.127.226,100.86.186.37,TLSv1.3,1066,Application Data,3
22,0.093178,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
23,0.093511,100.86.186.37,34.98.127.226,TCP,54,52690  >  443 [ACK] Seq=1276 Ack=7924 Win=131072 Len=0,3
24,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
25,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
26,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
27,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
28,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1456,Application Data,3
29,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
30,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
31,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
32,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
33,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
34,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
35,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
36,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
37,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
38,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
39,0.095044,34.98.127.226,100.86.186.37,TLSv1.3,1466,Application Data,3
40,0.095671,100.86.186.37,34.98.127.226,TCP,54,52690  >  443 [ACK] Seq=1276 Ack=30506 Win=131072 Len=0,3
41,0.096614,34.98.127.226,100.86.186.37,TCP,1466,"[TCP Previous segment not captured] 443  >  52690 [PSH, ACK] Seq=31918 Ack=1276 Win=68096 Len=1412 [TCP segment of a reassembled PDU]",3
42,0.096614,34.98.127.226,100.86.186.37,TLSv1.3,1466,Continuation Data,3
43,0.096727,100.86.186.37,34.98.127.226,TCP,66,[TCP Dup ACK 40#1] 52690  >  443 [ACK] Seq=1276 Ack=30506 Win=131072 Len=0 SLE=31918 SRE=34742,3
44,0.104931,34.98.127.226,100.86.186.37,TLSv1.3,1466,Continuation Data,3
45,0.105046,100.86.186.37,34.98.127.226,TCP,66,[TCP Dup ACK 40#2] 52690  >  443 [ACK] Seq=1276 Ack=30506 Win=131072 Len=0 SLE=31918 SRE=36154,3
46,0.109872,34.98.127.226,100.86.186.37,TLSv1.3,1466,Continuation Data,3
47,0.109872,34.98.127.226,100.86.186.37,TLSv1.3,1466,Continuation Data,3
48,0.109872,34.98.127.226,100.86.186.37,TLSv1.3,1466,Continuation Data,3
49,0.109872,34.98.127.226,100.86.186.37,TLSv1.3,1466,Continuation Data,3
