"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.100.45","23.0.229.150","TCP","78","60386  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2062573226 TSecr=0 SACK_PERM"
"2","0.019711","23.0.229.150","100.86.100.45","TCP","74","443  >  60386 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=436328020 TSecr=2062573226 WS=128"
"3","0.019779","100.86.100.45","23.0.229.150","TCP","66","60386  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=2062573245 TSecr=436328020"
"4","0.019940","100.86.100.45","23.0.229.150","TLSv1.3","597","Client Hello (SNI=weather.com)"
"5","0.038634","23.0.229.150","100.86.100.45","TCP","66","443  >  60386 [ACK] Seq=1 Ack=532 Win=64640 Len=0 TSval=436328039 TSecr=2062573245"
"6","0.039921","23.0.229.150","100.86.100.45","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"7","0.039949","100.86.100.45","23.0.229.150","TCP","66","60386  >  443 [ACK] Seq=532 Ack=1449 Win=130304 Len=0 TSval=2062573266 TSecr=436328040"
"8","0.040424","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [PSH, ACK] Seq=1449 Ack=532 Win=64640 Len=1448 TSval=436328040 TSecr=2062573245 [TCP segment of a reassembled PDU]"
"9","0.040425","23.0.229.150","100.86.100.45","TLSv1.3","1214","Application Data, Application Data, Application Data"
"10","0.040436","100.86.100.45","23.0.229.150","TCP","66","60386  >  443 [ACK] Seq=532 Ack=4045 Win=128448 Len=0 TSval=2062573266 TSecr=436328040"
"11","0.041376","100.86.100.45","23.0.229.150","TLSv1.3","146","Change Cipher Spec, Application Data"
"12","0.041468","100.86.100.45","23.0.229.150","TLSv1.3","158","Application Data"
"13","0.041552","100.86.100.45","23.0.229.150","TCP","1514","60386  >  443 [ACK] Seq=704 Ack=4045 Win=131072 Len=1448 TSval=2062573267 TSecr=436328040 [TCP segment of a reassembled PDU]"
"14","0.041556","100.86.100.45","23.0.229.150","TLSv1.3","786","Application Data"
"15","0.082876","100.86.100.45","23.0.229.150","TCP","1514","[TCP Retransmission] 60386  >  443 [PSH, ACK] Seq=1424 Ack=4045 Win=131072 Len=1448 TSval=2062573308 TSecr=436328040 [TCP segment of a reassembled PDU]"
"16","0.088606","23.0.229.150","100.86.100.45","TCP","66","443  >  60386 [ACK] Seq=4045 Ack=2872 Win=63360 Len=0 TSval=436328089 TSecr=2062573267"
"17","0.089060","23.0.229.150","100.86.100.45","TLSv1.3","353","Application Data"
"18","0.089061","23.0.229.150","100.86.100.45","TLSv1.3","353","Application Data"
"19","0.089136","100.86.100.45","23.0.229.150","TCP","66","60386  >  443 [ACK] Seq=2872 Ack=4619 Win=130496 Len=0 TSval=2062573314 TSecr=436328089"
"20","0.099710","23.0.229.150","100.86.100.45","TLSv1.3","127","Application Data"
"21","0.099777","100.86.100.45","23.0.229.150","TCP","66","60386  >  443 [ACK] Seq=2872 Ack=4680 Win=131008 Len=0 TSval=2062573325 TSecr=436328100"
"22","0.099886","100.86.100.45","23.0.229.150","TLSv1.3","97","Application Data"
"23","0.100123","23.0.229.150","100.86.100.45","TLSv1.3","97","Application Data"
"24","0.100154","100.86.100.45","23.0.229.150","TCP","66","60386  >  443 [ACK] Seq=2903 Ack=4711 Win=131008 Len=0 TSval=2062573325 TSecr=436328100"
"25","0.101036","23.0.229.150","100.86.100.45","TCP","78","[TCP Dup ACK 16#1] 443  >  60386 [ACK] Seq=4711 Ack=2872 Win=64128 Len=0 TSval=436328102 TSecr=2062573308 SLE=1424 SRE=2872"
"26","0.117937","23.0.229.150","100.86.100.45","TCP","66","443  >  60386 [ACK] Seq=4711 Ack=2903 Win=64128 Len=0 TSval=436328118 TSecr=2062573325"
"27","0.118814","23.0.229.150","100.86.100.45","TLSv1.3","1383","Application Data"
"28","0.118815","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [ACK] Seq=6028 Ack=2903 Win=64128 Len=1448 TSval=436328119 TSecr=2062573325 [TCP segment of a reassembled PDU]"
"29","0.118816","23.0.229.150","100.86.100.45","TCP","1514","443  >  60386 [PSH, ACK] Seq=7476 Ack=2903 Win=64128 Len=1448 TSval=436328119 TSecr=2062573325 [TCP segment of a reassembled PDU]"
"30","0.118886","100.86.100.45","23.0.229.150","TCP","66","60386  >  443 [ACK] Seq=2903 Ack=8924 Win=126848 Len=0 TSval=2062573344 TSecr=436328119"
"31","0.119033","100.86.100.45","23.0.229.150","TCP","66","[TCP Window Update] 60386  >  443 [ACK] Seq=2903 Ack=8924 Win=131072 Len=0 TSval=2062573345 TSecr=436328119"
