"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.111.80","23.61.11.185","TCP","66","51454  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.011853","23.61.11.185","100.86.111.80","TCP","66","443  >  51454 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"3","0.012135","100.86.111.80","23.61.11.185","TCP","54","51454  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"4","0.014228","100.86.111.80","23.61.11.185","TCP","1514","51454  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"5","0.014228","100.86.111.80","23.61.11.185","TLSv1.3","358","Client Hello (SNI=rubicon.wellsfargo.com)"
"6","0.024797","23.61.11.185","100.86.111.80","TCP","56","443  >  51454 [ACK] Seq=1 Ack=1765 Win=63360 Len=0"
"7","0.029132","23.61.11.185","100.86.111.80","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"8","0.029132","23.61.11.185","100.86.111.80","TCP","1514","443  >  51454 [PSH, ACK] Seq=1461 Ack=1765 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"9","0.029416","100.86.111.80","23.61.11.185","TCP","54","51454  >  443 [ACK] Seq=1765 Ack=2921 Win=65536 Len=0"
"10","0.029526","23.61.11.185","100.86.111.80","TLSv1.3","1230","Application Data, Application Data"
"11","0.029526","23.61.11.185","100.86.111.80","TLSv1.3","92","Application Data"
"12","0.029727","100.86.111.80","23.61.11.185","TCP","54","51454  >  443 [ACK] Seq=1765 Ack=4135 Win=64256 Len=0"
"13","0.037240","100.86.111.80","23.61.11.185","TLSv1.3","134","Change Cipher Spec, Application Data"
"14","0.039279","100.86.111.80","23.61.11.185","TCP","1514","51454  >  443 [ACK] Seq=1845 Ack=4135 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"15","0.039279","100.86.111.80","23.61.11.185","TLSv1.3","1221","Application Data"
"16","0.051150","23.61.11.185","100.86.111.80","TLSv1.3","357","Application Data"
"17","0.051150","23.61.11.185","100.86.111.80","TLSv1.3","357","Application Data"
"18","0.051414","100.86.111.80","23.61.11.185","TCP","54","51454  >  443 [ACK] Seq=4472 Ack=4741 Win=65536 Len=0"
"19","0.051533","23.61.11.185","100.86.111.80","TCP","56","443  >  51454 [ACK] Seq=4741 Ack=4472 Win=63360 Len=0"
"20","0.122297","23.61.11.185","100.86.111.80","TCP","1514","443  >  51454 [ACK] Seq=4741 Ack=4472 Win=64128 Len=1460 [TCP segment of a reassembled PDU]"
"21","0.122297","23.61.11.185","100.86.111.80","TLSv1.3","816","Application Data"
"22","0.122587","100.86.111.80","23.61.11.185","TCP","54","51454  >  443 [ACK] Seq=4472 Ack=6963 Win=65536 Len=0"
"23","0.832392","100.86.111.80","23.61.11.185","TCP","1514","51454  >  443 [ACK] Seq=4472 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"24","0.832392","100.86.111.80","23.61.11.185","TCP","1514","51454  >  443 [ACK] Seq=5932 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"25","0.832392","100.86.111.80","23.61.11.185","TLSv1.3","1514","Application Data"
"26","0.832392","100.86.111.80","23.61.11.185","TCP","1514","51454  >  443 [ACK] Seq=8852 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"27","0.832392","100.86.111.80","23.61.11.185","TCP","1514","51454  >  443 [ACK] Seq=10312 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"28","0.832392","100.86.111.80","23.61.11.185","TCP","1514","51454  >  443 [ACK] Seq=11772 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"29","0.832392","100.86.111.80","23.61.11.185","TCP","1514","51454  >  443 [ACK] Seq=13232 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"30","0.832392","100.86.111.80","23.61.11.185","TCP","1514","51454  >  443 [ACK] Seq=14692 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"31","0.832392","100.86.111.80","23.61.11.185","TCP","1514","51454  >  443 [ACK] Seq=16152 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"32","0.832392","100.86.111.80","23.61.11.185","TLSv1.3","163","Application Data"
"33","0.845367","23.61.11.185","100.86.111.80","TCP","56","443  >  51454 [ACK] Seq=6963 Ack=7392 Win=64128 Len=0"
"34","0.873833","100.86.111.80","23.61.11.185","TCP","1514","[TCP Retransmission] 51454  >  443 [PSH, ACK] Seq=16261 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"35","0.883879","23.61.11.185","100.86.111.80","TCP","56","443  >  51454 [ACK] Seq=6963 Ack=17721 Win=57216 Len=0"
"36","0.903750","23.61.11.185","100.86.111.80","TCP","66","[TCP Window Update] 443  >  51454 [ACK] Seq=6963 Ack=17721 Win=64128 Len=0 SLE=16261 SRE=17721"
