"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.87.79","128.239.29.10","TCP","66","58728  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.000491","100.86.87.79","128.239.29.10","TCP","66","58729  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"3","0.002616","128.239.29.10","100.86.87.79","TCP","66","443  >  58728 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 WS=1 SACK_PERM"
"4","0.002834","100.86.87.79","128.239.29.10","TCP","54","58728  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"5","0.003395","100.86.87.79","128.239.29.10","TLSv1.3","644","Client Hello (SNI=wm.edu)"
"6","0.004268","128.239.29.10","100.86.87.79","TCP","66","443  >  58729 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 WS=1 SACK_PERM"
"7","0.004347","100.86.87.79","128.239.29.10","TCP","54","58729  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"8","0.004585","100.86.87.79","128.239.29.10","TLSv1.3","571","Client Hello (SNI=wm.edu)"
"9","0.007196","128.239.29.10","100.86.87.79","TCP","56","443  >  58728 [ACK] Seq=1 Ack=591 Win=15190 Len=0"
"10","0.010554","128.239.29.10","100.86.87.79","TCP","56","443  >  58729 [ACK] Seq=1 Ack=518 Win=15117 Len=0"
"11","0.013066","128.239.29.10","100.86.87.79","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"12","0.013066","128.239.29.10","100.86.87.79","TCP","1514","443  >  58728 [ACK] Seq=1461 Ack=591 Win=15190 Len=1460 [TCP segment of a reassembled PDU]"
"13","0.013066","128.239.29.10","100.86.87.79","TCP","1514","443  >  58728 [ACK] Seq=2921 Ack=591 Win=15190 Len=1460 [TCP segment of a reassembled PDU]"
"14","0.013066","128.239.29.10","100.86.87.79","TCP","1514","443  >  58728 [ACK] Seq=4381 Ack=591 Win=15190 Len=1460 [TCP segment of a reassembled PDU]"
"15","0.013066","128.239.29.10","100.86.87.79","TLSv1.3","511","Application Data, Application Data, Application Data"
"16","0.013066","128.239.29.10","100.86.87.79","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"17","0.013066","128.239.29.10","100.86.87.79","TCP","1514","443  >  58729 [ACK] Seq=1461 Ack=518 Win=15117 Len=1460 [TCP segment of a reassembled PDU]"
"18","0.013066","128.239.29.10","100.86.87.79","TCP","1514","443  >  58729 [ACK] Seq=2921 Ack=518 Win=15117 Len=1460 [TCP segment of a reassembled PDU]"
"19","0.013251","100.86.87.79","128.239.29.10","TCP","54","58728  >  443 [ACK] Seq=591 Ack=6298 Win=65536 Len=0"
"20","0.013289","100.86.87.79","128.239.29.10","TCP","54","58729  >  443 [ACK] Seq=518 Ack=4381 Win=65536 Len=0"
"21","0.014618","100.86.87.79","128.239.29.10","TLSv1.3","134","Change Cipher Spec, Application Data"
"22","0.014794","100.86.87.79","128.239.29.10","TLSv1.3","1258","Application Data"
"23","0.015099","128.239.29.10","100.86.87.79","TCP","1514","443  >  58729 [ACK] Seq=4381 Ack=518 Win=15117 Len=1460 [TCP segment of a reassembled PDU]"
"24","0.015099","128.239.29.10","100.86.87.79","TLSv1.3","511","Application Data, Application Data, Application Data"
"25","0.015156","100.86.87.79","128.239.29.10","TCP","54","58729  >  443 [ACK] Seq=518 Ack=6298 Win=65536 Len=0"
"26","0.015368","100.86.87.79","128.239.29.10","TLSv1.3","134","Change Cipher Spec, Application Data"
"27","0.017416","128.239.29.10","100.86.87.79","TCP","56","443  >  58728 [ACK] Seq=6298 Ack=671 Win=15270 Len=0"
"28","0.017701","128.239.29.10","100.86.87.79","TCP","56","443  >  58728 [ACK] Seq=6298 Ack=1875 Win=16474 Len=0"
"29","0.017701","128.239.29.10","100.86.87.79","TCP","56","443  >  58729 [ACK] Seq=6298 Ack=598 Win=15197 Len=0"
"30","0.018667","128.239.29.10","100.86.87.79","TLSv1.3","506","Application Data"
"31","0.063556","100.86.87.79","128.239.29.10","TCP","54","58728  >  443 [ACK] Seq=1875 Ack=6750 Win=65024 Len=0"
"32","15.032410","128.239.29.10","100.86.87.79","TCP","56","443  >  58728 [FIN, ACK] Seq=6750 Ack=1875 Win=16474 Len=0"
"33","15.032486","100.86.87.79","128.239.29.10","TCP","54","58728  >  443 [ACK] Seq=1875 Ack=6751 Win=65024 Len=0"
"34","45.032526","100.86.87.79","128.239.29.10","TCP","55","[TCP Keep-Alive] 58729  >  443 [ACK] Seq=597 Ack=6298 Win=65536 Len=1"
"35","45.034125","128.239.29.10","100.86.87.79","TCP","56","[TCP Keep-Alive ACK] 443  >  58729 [ACK] Seq=6298 Ack=598 Win=15197 Len=0"
"36","54.780829","100.86.87.79","128.239.29.10","TCP","54","58728  >  443 [FIN, ACK] Seq=1875 Ack=6751 Win=65024 Len=0"
"37","54.791113","128.239.29.10","100.86.87.79","TCP","56","443  >  58728 [ACK] Seq=6751 Ack=1876 Win=16474 Len=0"
"38","60.223525","100.86.87.79","128.239.29.10","TCP","54","58729  >  443 [FIN, ACK] Seq=598 Ack=6298 Win=65536 Len=0"
"39","60.226705","128.239.29.10","100.86.87.79","TCP","56","443  >  58729 [ACK] Seq=6298 Ack=599 Win=15197 Len=0"
"40","60.226705","128.239.29.10","100.86.87.79","TCP","56","443  >  58729 [FIN, ACK] Seq=6298 Ack=599 Win=15197 Len=0"
"41","60.226765","100.86.87.79","128.239.29.10","TCP","54","58729  >  443 [ACK] Seq=599 Ack=6299 Win=65536 Len=0"
"42","388.650374","100.86.87.79","128.239.29.10","TCP","66","58909  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"43","388.651420","100.86.87.79","128.239.29.10","TCP","66","58911  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"44","388.694363","128.239.29.10","100.86.87.79","TCP","66","443  >  58911 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 WS=1 SACK_PERM"
"45","388.694363","128.239.29.10","100.86.87.79","TCP","66","443  >  58909 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 WS=1 SACK_PERM"
"46","388.694557","100.86.87.79","128.239.29.10","TCP","54","58911  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"47","388.694601","100.86.87.79","128.239.29.10","TCP","54","58909  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"48","388.694840","100.86.87.79","128.239.29.10","TLSv1.3","612","Client Hello (SNI=wm.edu)"
"49","388.695073","100.86.87.79","128.239.29.10","TLSv1.3","644","Client Hello (SNI=wm.edu)"
"50","388.705486","128.239.29.10","100.86.87.79","TCP","56","443  >  58909 [ACK] Seq=1 Ack=559 Win=15158 Len=0"
"51","388.705486","128.239.29.10","100.86.87.79","TCP","56","443  >  58911 [ACK] Seq=1 Ack=591 Win=15190 Len=0"
"52","388.710267","128.239.29.10","100.86.87.79","TLSv1.3","5894","Server Hello, Change Cipher Spec, Application Data"
"53","388.710267","128.239.29.10","100.86.87.79","TLSv1.3","5894","Server Hello, Change Cipher Spec, Application Data"
"54","388.710267","128.239.29.10","100.86.87.79","TLSv1.3","511","Application Data, Application Data, Application Data"
"55","388.710267","128.239.29.10","100.86.87.79","TLSv1.3","511","Application Data, Application Data, Application Data"
"56","388.710358","100.86.87.79","128.239.29.10","TCP","54","58909  >  443 [ACK] Seq=559 Ack=6298 Win=65536 Len=0"
"57","388.710381","100.86.87.79","128.239.29.10","TCP","54","58911  >  443 [ACK] Seq=591 Ack=6298 Win=65536 Len=0"
"58","388.710769","100.86.87.79","128.239.29.10","TLSv1.3","134","Change Cipher Spec, Application Data"
"59","388.711091","100.86.87.79","128.239.29.10","TLSv1.3","134","Change Cipher Spec, Application Data"
"60","388.711388","100.86.87.79","128.239.29.10","TLSv1.3","1279","Application Data"
"61","388.719207","128.239.29.10","100.86.87.79","TCP","56","443  >  58909 [ACK] Seq=6298 Ack=639 Win=15238 Len=0"
"62","388.719207","128.239.29.10","100.86.87.79","TCP","56","443  >  58911 [ACK] Seq=6298 Ack=671 Win=15270 Len=0"
"63","388.721524","128.239.29.10","100.86.87.79","TCP","56","443  >  58911 [ACK] Seq=6298 Ack=1896 Win=16495 Len=0"
"64","388.722094","128.239.29.10","100.86.87.79","TLSv1.3","506","Application Data"
"65","388.763166","100.86.87.79","128.239.29.10","TCP","54","58911  >  443 [ACK] Seq=1896 Ack=6750 Win=65024 Len=0"
"66","403.724331","128.239.29.10","100.86.87.79","TCP","56","443  >  58911 [FIN, ACK] Seq=6750 Ack=1896 Win=16495 Len=0"
"67","403.724411","100.86.87.79","128.239.29.10","TCP","54","58911  >  443 [ACK] Seq=1896 Ack=6751 Win=65024 Len=0"
"68","408.998219","100.86.87.79","128.239.29.10","TCP","54","58911  >  443 [FIN, ACK] Seq=1896 Ack=6751 Win=65024 Len=0"
"69","408.999904","128.239.29.10","100.86.87.79","TCP","56","443  >  58911 [ACK] Seq=6751 Ack=1897 Win=16495 Len=0"
"70","433.725546","100.86.87.79","128.239.29.10","TCP","55","[TCP Keep-Alive] 58909  >  443 [ACK] Seq=638 Ack=6298 Win=65536 Len=1"
"71","433.729432","128.239.29.10","100.86.87.79","TCP","56","[TCP Keep-Alive ACK] 443  >  58909 [ACK] Seq=6298 Ack=639 Win=15238 Len=0"
"72","448.725739","100.86.87.79","128.239.29.10","TCP","54","58909  >  443 [FIN, ACK] Seq=639 Ack=6298 Win=65536 Len=0"
"73","448.842141","128.239.29.10","100.86.87.79","TCP","56","443  >  58909 [ACK] Seq=6298 Ack=640 Win=15238 Len=0"
"74","448.842141","128.239.29.10","100.86.87.79","TCP","56","443  >  58909 [FIN, ACK] Seq=6298 Ack=640 Win=15238 Len=0"
"75","448.842202","100.86.87.79","128.239.29.10","TCP","54","58909  >  443 [ACK] Seq=640 Ack=6299 Win=65536 Len=0"
"76","573.582553","100.86.87.79","128.239.29.10","TCP","66","58986  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
