"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.85.87.79","128.239.29.10","TCP","66","58664  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.001702","128.239.29.10","100.85.87.79","TCP","66","443  >  58664 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 WS=1 SACK_PERM"
"3","0.001892","100.85.87.79","128.239.29.10","TCP","54","58664  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"4","0.002800","100.85.87.79","128.239.29.10","TLSv1.3","1770","Client Hello (SNI=wm.edu)"
"5","0.004448","128.239.29.10","100.85.87.79","TCP","56","443  >  58664 [ACK] Seq=1 Ack=1717 Win=16316 Len=0"
"6","0.007183","128.239.29.10","100.85.87.79","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"7","0.007183","128.239.29.10","100.85.87.79","TCP","1514","443  >  58664 [ACK] Seq=1461 Ack=1717 Win=16316 Len=1460 [TCP segment of a reassembled PDU]"
"8","0.007293","100.85.87.79","128.239.29.10","TCP","54","58664  >  443 [ACK] Seq=1717 Ack=2921 Win=131328 Len=0"
"9","0.007937","128.239.29.10","100.85.87.79","TCP","2974","443  >  58664 [ACK] Seq=2921 Ack=1717 Win=16316 Len=2920 [TCP segment of a reassembled PDU]"
"10","0.007937","128.239.29.10","100.85.87.79","TLSv1.3","511","Application Data, Application Data, Application Data"
"11","0.008018","100.85.87.79","128.239.29.10","TCP","54","58664  >  443 [ACK] Seq=1717 Ack=6298 Win=131328 Len=0"
"12","0.010528","100.85.87.79","128.239.29.10","TLSv1.3","134","Change Cipher Spec, Application Data"
"13","0.010715","100.85.87.79","128.239.29.10","TLSv1.3","2375","Application Data"
"14","0.012482","128.239.29.10","100.85.87.79","TCP","56","443  >  58664 [ACK] Seq=6298 Ack=1797 Win=16396 Len=0"
"15","0.012482","128.239.29.10","100.85.87.79","TCP","56","443  >  58664 [ACK] Seq=6298 Ack=4118 Win=18717 Len=0"
"16","0.012876","128.239.29.10","100.85.87.79","TLSv1.3","506","Application Data"
"17","0.063325","100.85.87.79","128.239.29.10","TCP","54","58664  >  443 [ACK] Seq=4118 Ack=6750 Win=130816 Len=0"
"18","15.047212","128.239.29.10","100.85.87.79","TCP","56","443  >  58664 [FIN, ACK] Seq=6750 Ack=4118 Win=18717 Len=0"
"19","15.047455","100.85.87.79","128.239.29.10","TCP","54","58664  >  443 [ACK] Seq=4118 Ack=6751 Win=130816 Len=0"
"20","37.620183","100.85.87.79","128.239.29.10","TCP","54","58664  >  443 [FIN, ACK] Seq=4118 Ack=6751 Win=130816 Len=0"
"21","37.623424","128.239.29.10","100.85.87.79","TCP","56","443  >  58664 [ACK] Seq=6751 Ack=4119 Win=18717 Len=0"
"22","198.802400","100.85.87.79","128.239.29.10","TCP","66","58721  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"23","198.804150","128.239.29.10","100.85.87.79","TCP","66","443  >  58721 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 WS=1 SACK_PERM"
"24","198.804390","100.85.87.79","128.239.29.10","TCP","54","58721  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"25","198.804968","100.85.87.79","128.239.29.10","TLSv1.3","1866","Client Hello (SNI=wm.edu)"
"26","198.806761","128.239.29.10","100.85.87.79","TCP","56","443  >  58721 [ACK] Seq=1 Ack=1813 Win=16412 Len=0"
"27","198.808343","128.239.29.10","100.85.87.79","TLSv1.3","2974","Server Hello, Change Cipher Spec, Application Data"
"28","198.808521","100.85.87.79","128.239.29.10","TCP","54","58721  >  443 [ACK] Seq=1813 Ack=2921 Win=131328 Len=0"
"29","198.809400","128.239.29.10","100.85.87.79","TCP","2974","443  >  58721 [ACK] Seq=2921 Ack=1813 Win=16412 Len=2920 [TCP segment of a reassembled PDU]"
"30","198.809400","128.239.29.10","100.85.87.79","TLSv1.3","511","Application Data, Application Data, Application Data"
"31","198.809694","100.85.87.79","128.239.29.10","TCP","54","58721  >  443 [ACK] Seq=1813 Ack=6298 Win=131328 Len=0"
"32","198.810159","100.85.87.79","128.239.29.10","TLSv1.3","134","Change Cipher Spec, Application Data"
"33","198.810453","100.85.87.79","128.239.29.10","TLSv1.3","2375","Application Data"
"34","198.811790","128.239.29.10","100.85.87.79","TCP","56","443  >  58721 [ACK] Seq=6298 Ack=1893 Win=16492 Len=0"
"35","198.812251","128.239.29.10","100.85.87.79","TCP","56","443  >  58721 [ACK] Seq=6298 Ack=4214 Win=18813 Len=0"
"36","198.813293","128.239.29.10","100.85.87.79","TLSv1.3","506","Application Data"
"37","198.864480","100.85.87.79","128.239.29.10","TCP","54","58721  >  443 [ACK] Seq=4214 Ack=6750 Win=130816 Len=0"
"38","199.225844","100.85.87.79","128.239.29.10","TLSv1.3","2323","Application Data"
"39","199.228710","128.239.29.10","100.85.87.79","TCP","56","443  >  58721 [ACK] Seq=6750 Ack=6483 Win=21082 Len=0"
"40","199.230201","100.85.87.79","128.239.29.10","TCP","66","58722  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"41","199.231376","128.239.29.10","100.85.87.79","TLSv1.3","505","Application Data"
"42","199.233209","128.239.29.10","100.85.87.79","TCP","66","443  >  58722 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 WS=1 SACK_PERM"
"43","199.233514","100.85.87.79","128.239.29.10","TCP","54","58722  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"44","199.235398","100.85.87.79","128.239.29.10","TLSv1.3","1770","Client Hello (SNI=wm.edu)"
"45","199.237849","128.239.29.10","100.85.87.79","TCP","56","443  >  58722 [ACK] Seq=1 Ack=1717 Win=16316 Len=0"
"46","199.240822","128.239.29.10","100.85.87.79","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"47","199.242581","128.239.29.10","100.85.87.79","TCP","1514","443  >  58722 [ACK] Seq=1461 Ack=1717 Win=16316 Len=1460 [TCP segment of a reassembled PDU]"
"48","199.242698","100.85.87.79","128.239.29.10","TCP","54","58722  >  443 [ACK] Seq=1717 Ack=2921 Win=131328 Len=0"
"49","199.247469","128.239.29.10","100.85.87.79","TCP","1514","443  >  58722 [ACK] Seq=2921 Ack=1717 Win=16316 Len=1460 [TCP segment of a reassembled PDU]"
"50","199.247469","128.239.29.10","100.85.87.79","TCP","1514","443  >  58722 [ACK] Seq=4381 Ack=1717 Win=16316 Len=1460 [TCP segment of a reassembled PDU]"
"51","199.247469","128.239.29.10","100.85.87.79","TLSv1.3","511","Application Data, Application Data, Application Data"
"52","199.247756","100.85.87.79","128.239.29.10","TCP","54","58722  >  443 [ACK] Seq=1717 Ack=6298 Win=131328 Len=0"
"53","199.248236","100.85.87.79","128.239.29.10","TLSv1.3","134","Change Cipher Spec, Application Data"
"54","199.251181","128.239.29.10","100.85.87.79","TCP","56","443  >  58722 [ACK] Seq=6298 Ack=1797 Win=16396 Len=0"
"55","199.276669","100.85.87.79","128.239.29.10","TCP","54","58721  >  443 [ACK] Seq=6483 Ack=7201 Win=130304 Len=0"
"56","214.251380","128.239.29.10","100.85.87.79","TCP","56","443  >  58721 [FIN, ACK] Seq=7201 Ack=6483 Win=21082 Len=0"
"57","214.251476","100.85.87.79","128.239.29.10","TCP","54","58721  >  443 [ACK] Seq=6483 Ack=7202 Win=130304 Len=0"
"58","214.380515","100.85.87.79","128.239.29.10","TCP","54","58721  >  443 [FIN, ACK] Seq=6483 Ack=7202 Win=130304 Len=0"
"59","214.405406","128.239.29.10","100.85.87.79","TCP","56","443  >  58721 [ACK] Seq=7202 Ack=6484 Win=21082 Len=0"
"60","244.261476","100.85.87.79","128.239.29.10","TCP","55","[TCP Keep-Alive] 58722  >  443 [ACK] Seq=1796 Ack=6298 Win=131328 Len=1"
"61","244.270251","128.239.29.10","100.85.87.79","TCP","56","[TCP Keep-Alive ACK] 443  >  58722 [ACK] Seq=6298 Ack=1797 Win=16396 Len=0"
"62","289.272391","100.85.87.79","128.239.29.10","TCP","55","[TCP Keep-Alive] 58722  >  443 [ACK] Seq=1796 Ack=6298 Win=131328 Len=1"
"63","289.275012","128.239.29.10","100.85.87.79","TCP","56","[TCP Keep-Alive ACK] 443  >  58722 [ACK] Seq=6298 Ack=1797 Win=16396 Len=0"
"64","295.679987","100.85.87.79","128.239.29.10","TCP","54","58722  >  443 [FIN, ACK] Seq=1797 Ack=6298 Win=131328 Len=0"
"65","295.682692","128.239.29.10","100.85.87.79","TCP","56","443  >  58722 [ACK] Seq=6298 Ack=1798 Win=16396 Len=0"
"66","295.684715","128.239.29.10","100.85.87.79","TCP","56","443  >  58722 [FIN, ACK] Seq=6298 Ack=1798 Win=16396 Len=0"
"67","295.684843","100.85.87.79","128.239.29.10","TCP","54","58722  >  443 [ACK] Seq=1798 Ack=6299 Win=131328 Len=0"
"68","3392.605059","100.85.87.79","128.239.29.10","TCP","66","59245  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"69","3392.608361","128.239.29.10","100.85.87.79","TCP","66","443  >  59245 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 WS=1 SACK_PERM"
"70","3392.608793","100.85.87.79","128.239.29.10","TCP","54","59245  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"71","3392.610276","100.85.87.79","128.239.29.10","TLSv1.3","1866","Client Hello (SNI=wm.edu)"
"72","3392.616080","128.239.29.10","100.85.87.79","TCP","56","443  >  59245 [ACK] Seq=1 Ack=1813 Win=16412 Len=0"
"73","3392.616080","128.239.29.10","100.85.87.79","TLSv1.3","5894","Server Hello, Change Cipher Spec, Application Data"
"74","3392.616080","128.239.29.10","100.85.87.79","TLSv1.3","511","Application Data, Application Data, Application Data"
"75","3392.616297","100.85.87.79","128.239.29.10","TCP","54","59245  >  443 [ACK] Seq=1813 Ack=6298 Win=131328 Len=0"
"76","3392.624044","100.85.87.79","128.239.29.10","TLSv1.3","134","Change Cipher Spec, Application Data"
"77","3392.624339","100.85.87.79","128.239.29.10","TLSv1.3","2375","Application Data"
"78","3392.631332","128.239.29.10","100.85.87.79","TCP","56","443  >  59245 [ACK] Seq=6298 Ack=1893 Win=16492 Len=0"
"79","3392.631332","128.239.29.10","100.85.87.79","TCP","56","443  >  59245 [ACK] Seq=6298 Ack=4214 Win=18813 Len=0"
"80","3392.632488","128.239.29.10","100.85.87.79","TLSv1.3","506","Application Data"
"81","3392.680592","100.85.87.79","128.239.29.10","TCP","54","59245  >  443 [ACK] Seq=4214 Ack=6750 Win=130816 Len=0"
"82","3394.016342","100.85.87.79","128.239.29.10","TLSv1.3","2323","Application Data"
