No.,Time,Source,Destination,Protocol,Length,Info,label
1,0,100.100.111.80,104.18.35.30,QUIC,1292,"Initial, DCID=a730319f62b1c117, PKN: 1, CRYPTO",3
2,0.000539,100.100.111.80,104.18.35.30,QUIC,1292,"Initial, DCID=a730319f62b1c117, PKN: 2, PADDING, CRYPTO, PADDING, PING, PADDING",3
3,0.022309,104.18.35.30,100.100.111.80,QUIC,1242,"Initial, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170, PKN: 0, ACK",3
4,0.022309,104.18.35.30,100.100.111.80,QUIC,1242,"Initial, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170, PKN: 1, ACK",3
5,0.023781,104.18.35.30,100.100.111.80,QUIC,1242,"Initial, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170, PKN: 2, CRYPTO",3
6,0.023781,104.18.35.30,100.100.111.80,QUIC,1242,"Initial, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170, PKN: 3, CRYPTO",3
7,0.025484,100.100.111.80,104.18.35.30,QUIC,1292,"Initial, DCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170, PKN: 3, ACK, PADDING",3
8,0.025785,104.18.35.30,100.100.111.80,QUIC,1242,"Handshake, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170",3
9,0.028042,100.100.111.80,104.18.35.30,QUIC,94,"Handshake, DCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170",3
10,0.029207,104.18.35.30,100.100.111.80,QUIC,1242,"Handshake, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170",3
11,0.029207,104.18.35.30,100.100.111.80,QUIC,1242,"Handshake, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170",3
12,0.029329,104.18.35.30,100.100.111.80,QUIC,452,"Handshake, SCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170",3
13,0.031588,100.100.111.80,104.18.35.30,QUIC,93,"Handshake, DCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170",3
14,0.032795,100.100.111.80,104.18.35.30,QUIC,94,"Handshake, DCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170",3
15,0.033411,100.100.111.80,104.18.35.30,QUIC,127,"Handshake, DCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170",3
16,0.033985,100.100.111.80,104.18.35.30,QUIC,126,"Protected Payload (KP0), DCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170",3
17,0.035501,100.100.111.80,104.18.35.30,QUIC,392,"Protected Payload (KP0), DCID=017a53f705c3b07e647bd7f73cc3b4a9e4394170",3
18,0.052462,104.18.35.30,100.100.111.80,QUIC,575,Protected Payload (KP0),3
19,0.052462,104.18.35.30,100.100.111.80,QUIC,66,Protected Payload (KP0),3
20,0.052462,104.18.35.30,100.100.111.80,QUIC,66,Protected Payload (KP0),3
21,0.055026,104.18.35.30,100.100.111.80,QUIC,91,Protected Payload (KP0),3
