No.,Time,Source,Destination,Protocol,Length,Info,label
1,0,100.86.73.172,157.240.229.174,TCP,66,49698  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,2
2,0.018996,157.240.229.174,100.86.73.172,TCP,66,"443  >  49698 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256",2
3,0.01911,100.86.73.172,157.240.229.174,TCP,54,49698  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0,2
4,0.019928,100.86.73.172,157.240.229.174,TLSv1.3,655,Client Hello (SNI=www.instagram.com),2
5,0.0315,157.240.229.174,100.86.73.172,TCP,56,443  >  49698 [ACK] Seq=1 Ack=602 Win=66816 Len=0,2
6,0.034067,157.240.229.174,100.86.73.172,TLSv1.3,1446,"Server Hello, Change Cipher Spec, Application Data",2
7,0.035231,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
8,0.035231,157.240.229.174,100.86.73.172,TLSv1.3,80,Application Data,2
9,0.035274,100.86.73.172,157.240.229.174,TCP,54,49698  >  443 [ACK] Seq=602 Ack=2811 Win=132096 Len=0,2
10,0.037983,100.86.73.172,157.240.229.174,TLSv1.3,118,"Change Cipher Spec, Application Data",2
11,0.038211,100.86.73.172,157.240.229.174,TLSv1.3,146,Application Data,2
12,0.038415,100.86.73.172,157.240.229.174,TLSv1.3,1266,Application Data,2
13,0.048964,157.240.229.174,100.86.73.172,TLSv1.3,230,Application Data,2
14,0.049429,157.240.229.174,100.86.73.172,TLSv1.3,128,Application Data,2
15,0.04947,100.86.73.172,157.240.229.174,TCP,54,49698  >  443 [ACK] Seq=1970 Ack=3061 Win=131840 Len=0,2
16,0.049666,100.86.73.172,157.240.229.174,TLSv1.3,85,Application Data,2
17,0.053141,157.240.229.174,100.86.73.172,TLSv1.3,85,Application Data,2
18,0.053483,157.240.229.174,100.86.73.172,TLSv1.3,89,Application Data,2
19,0.053513,100.86.73.172,157.240.229.174,TCP,54,49698  >  443 [ACK] Seq=2001 Ack=3127 Win=131840 Len=0,2
20,0.100305,157.240.229.174,100.86.73.172,TCP,56,443  >  49698 [ACK] Seq=3127 Ack=2001 Win=69376 Len=0,2
21,0.146794,157.240.229.174,100.86.73.172,TCP,1446,443  >  49698 [ACK] Seq=3127 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU],2
22,0.147863,157.240.229.174,100.86.73.172,TCP,1446,"443  >  49698 [PSH, ACK] Seq=4519 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU]",2
23,0.147863,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
24,0.147863,157.240.229.174,100.86.73.172,TLSv1.3,363,Application Data,2
25,0.147863,157.240.229.174,100.86.73.172,TCP,1446,443  >  49698 [ACK] Seq=7612 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU],2
26,0.147936,100.86.73.172,157.240.229.174,TCP,54,49698  >  443 [ACK] Seq=2001 Ack=9004 Win=132096 Len=0,2
27,0.148243,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
28,0.148283,100.86.73.172,157.240.229.174,TCP,54,49698  >  443 [ACK] Seq=2001 Ack=10396 Win=132096 Len=0,2
29,0.149286,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
30,0.149749,157.240.229.174,100.86.73.172,TCP,1446,"443  >  49698 [PSH, ACK] Seq=11788 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU]",2
31,0.149792,100.86.73.172,157.240.229.174,TCP,54,49698  >  443 [ACK] Seq=2001 Ack=13180 Win=132096 Len=0,2
32,0.150603,157.240.229.174,100.86.73.172,TCP,1446,443  >  49698 [ACK] Seq=13180 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU],2
33,0.151088,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
34,0.151125,100.86.73.172,157.240.229.174,TCP,54,49698  >  443 [ACK] Seq=2001 Ack=15964 Win=132096 Len=0,2
35,0.152425,157.240.229.174,100.86.73.172,TCP,1446,443  >  49698 [ACK] Seq=15964 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU],2
36,0.152836,157.240.229.174,100.86.73.172,TCP,1446,"443  >  49698 [PSH, ACK] Seq=17356 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU]",2
37,0.152881,100.86.73.172,157.240.229.174,TCP,54,49698  >  443 [ACK] Seq=2001 Ack=18748 Win=132096 Len=0,2
38,0.154519,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
39,0.15487,157.240.229.174,100.86.73.172,TCP,1446,"443  >  49698 [PSH, ACK] Seq=20140 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU]",2
40,0.154921,100.86.73.172,157.240.229.174,TCP,54,49698  >  443 [ACK] Seq=2001 Ack=21532 Win=132096 Len=0,2
41,0.155732,157.240.229.174,100.86.73.172,TLSv1.3,1286,Application Data,2
42,0.205207,100.86.73.172,157.240.229.174,TCP,54,49698  >  443 [ACK] Seq=2001 Ack=22764 Win=130816 Len=0,2
43,0.295672,157.240.229.174,100.86.73.172,TCP,1446,443  >  49698 [ACK] Seq=22764 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU],2
44,0.295672,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
45,0.295672,157.240.229.174,100.86.73.172,TCP,2838,"[TCP Previous segment not captured] 443  >  49698 [PSH, ACK] Seq=26940 Ack=2001 Win=69376 Len=2784 [TCP segment of a reassembled PDU]",2
46,0.295732,100.86.73.172,157.240.229.174,TCP,66,49698  >  443 [ACK] Seq=2001 Ack=25548 Win=132096 Len=0 SLE=26940 SRE=29724,2
47,0.301617,157.240.229.174,100.86.73.172,TCP,1446,"443  >  49698 [PSH, ACK] Seq=29724 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU]",2
48,0.301617,157.240.229.174,100.86.73.172,TCP,1446,443  >  49698 [ACK] Seq=31116 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU],2
49,0.301617,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
50,0.301617,157.240.229.174,100.86.73.172,TCP,1446,443  >  49698 [ACK] Seq=33900 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU],2
51,0.301617,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
52,0.301617,157.240.229.174,100.86.73.172,TCP,1446,443  >  49698 [ACK] Seq=36684 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU],2
53,0.301617,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
54,0.301617,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
55,0.301617,157.240.229.174,100.86.73.172,TCP,1446,"443  >  49698 [PSH, ACK] Seq=40860 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU]",2
56,0.301617,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
57,0.301617,157.240.229.174,100.86.73.172,TCP,1446,"443  >  49698 [PSH, ACK] Seq=43644 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU]",2
58,0.301617,157.240.229.174,100.86.73.172,TCP,1446,443  >  49698 [ACK] Seq=45036 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU],2
59,0.301617,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
60,0.301617,157.240.229.174,100.86.73.172,TCP,1446,443  >  49698 [ACK] Seq=47820 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU],2
61,0.301617,157.240.229.174,100.86.73.172,TLSv1.3,1446,Application Data,2
62,0.301617,157.240.229.174,100.86.73.172,TCP,1446,443  >  49698 [ACK] Seq=50604 Ack=2001 Win=69376 Len=1392 [TCP segment of a reassembled PDU],2
