No.,Time,Source,Destination,Protocol,Length,Info,label
1,0.0,192.168.1.31,52.3.144.142,TLSv1.2,118,Application Data,0
2,2.8e-05,192.168.1.31,52.3.144.142,TLSv1.2,93,Application Data,0
3,0.016127,52.3.144.142,192.168.1.31,TCP,60,443  >  56483 [ACK] Seq=1 Ack=104 Win=68 Len=0,0
4,0.016873,52.3.144.142,192.168.1.31,TLSv1.2,93,Application Data,0
5,0.059521,192.168.1.31,52.3.144.142,TCP,54,56483  >  443 [ACK] Seq=104 Ack=40 Win=1025 Len=0,0
6,0.299244,52.3.144.142,192.168.1.31,TLSv1.2,301,Application Data,0
7,0.299791,52.3.144.142,192.168.1.31,TCP,1514,443  >  56483 [ACK] Seq=287 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU],0
8,0.299791,52.3.144.142,192.168.1.31,TCP,1514,443  >  56483 [ACK] Seq=1747 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU],0
9,0.299791,52.3.144.142,192.168.1.31,TCP,1514,"443  >  56483 [PSH, ACK] Seq=3207 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU]",0
10,0.299805,192.168.1.31,52.3.144.142,TCP,54,56483  >  443 [ACK] Seq=104 Ack=4667 Win=1026 Len=0,0
11,0.300269,52.3.144.142,192.168.1.31,TLSv1.2,896,Application Data,0
12,0.300397,52.3.144.142,192.168.1.31,TCP,1514,443  >  56483 [ACK] Seq=5509 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU],0
13,0.300397,52.3.144.142,192.168.1.31,TLSv1.2,1055,Application Data,0
14,0.300409,192.168.1.31,52.3.144.142,TCP,54,56483  >  443 [ACK] Seq=104 Ack=7970 Win=1026 Len=0,0
15,0.300897,52.3.144.142,192.168.1.31,TCP,1514,443  >  56483 [ACK] Seq=7970 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU],0
16,0.300897,52.3.144.142,192.168.1.31,TCP,1514,443  >  56483 [ACK] Seq=9430 Ack=104 Win=68 Len=1460 [TCP segment of a reassembled PDU],0
