No.,Time,Source,Destination,Protocol,Length,Info,label
1,0,100.86.87.79,192.0.77.40,TCP,66,61494  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,2
2,0.010312,192.0.77.40,100.86.87.79,TCP,66,"443  >  61494 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460 SACK_PERM WS=512",2
3,0.010636,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0,2
4,0.011585,100.86.87.79,192.0.77.40,TLSv1.3,1842,Client Hello (SNI=www.tumblr.com),2
5,0.024902,192.0.77.40,100.86.87.79,TCP,56,443  >  61494 [ACK] Seq=1 Ack=1461 Win=42496 Len=0,2
6,0.025695,192.0.77.40,100.86.87.79,TCP,56,443  >  61494 [ACK] Seq=1 Ack=1789 Win=42496 Len=0,2
7,0.025882,192.0.77.40,100.86.87.79,TLSv1.3,1514,"Server Hello, Change Cipher Spec, Application Data",2
8,0.026366,192.0.77.40,100.86.87.79,TCP,1514,443  >  61494 [ACK] Seq=1461 Ack=1789 Win=42496 Len=1460 [TCP segment of a reassembled PDU],2
9,0.026366,192.0.77.40,100.86.87.79,TLSv1.3,910,"Application Data, Application Data, Application Data",2
10,0.026557,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=1789 Ack=3777 Win=131328 Len=0,2
11,0.033806,100.86.87.79,192.0.77.40,TLSv1.3,118,"Change Cipher Spec, Application Data",2
12,0.04425,192.0.77.40,100.86.87.79,TLSv1.3,325,Application Data,2
13,0.044643,192.0.77.40,100.86.87.79,TLSv1.3,325,Application Data,2
14,0.044643,192.0.77.40,100.86.87.79,TLSv1.3,116,Application Data,2
15,0.044862,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=1853 Ack=4381 Win=130560 Len=0,2
16,0.123544,100.86.87.79,192.0.77.40,TLSv1.3,146,Application Data,2
17,0.125051,100.86.87.79,192.0.77.40,TLSv1.3,85,Application Data,2
18,0.125174,100.86.87.79,192.0.77.40,TLSv1.3,563,Application Data,2
19,0.133381,192.0.77.40,100.86.87.79,TLSv1.3,85,Application Data,2
20,0.140578,192.0.77.40,100.86.87.79,TCP,56,443  >  61494 [ACK] Seq=4412 Ack=2485 Win=42496 Len=0,2
21,0.141925,192.0.77.40,100.86.87.79,TLSv1.3,2836,"Application Data, Application Data",2
22,0.142055,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=2485 Ack=7194 Win=131328 Len=0,2
23,0.142733,192.0.77.40,100.86.87.79,TLSv1.3,1445,Application Data,2
24,0.142733,192.0.77.40,100.86.87.79,TLSv1.3,1445,Application Data,2
25,0.142733,192.0.77.40,100.86.87.79,TLSv1.3,1445,Application Data,2
26,0.142733,192.0.77.40,100.86.87.79,TLSv1.3,1445,Application Data,2
27,0.142733,192.0.77.40,100.86.87.79,TLSv1.3,1445,Application Data,2
28,0.142733,192.0.77.40,100.86.87.79,TLSv1.3,1445,Application Data,2
29,0.143139,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=2485 Ack=15540 Win=131328 Len=0,2
30,0.143602,192.0.77.40,100.86.87.79,TLSv1.3,1445,Application Data,2
31,0.143602,192.0.77.40,100.86.87.79,TLSv1.3,1421,Application Data,2
32,0.143694,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=2485 Ack=18298 Win=131328 Len=0,2
33,0.186567,100.86.87.79,192.0.77.40,TCP,66,61495  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,2
34,0.186832,100.86.87.79,192.0.77.40,TCP,66,61496  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,2
35,0.187534,100.86.87.79,192.0.77.40,TLSv1.3,195,Application Data,2
36,0.187639,100.86.87.79,192.0.77.40,TLSv1.3,143,Application Data,2
37,0.187676,100.86.87.79,192.0.77.40,TLSv1.3,126,Application Data,2
38,0.187709,100.86.87.79,192.0.77.40,TLSv1.3,136,Application Data,2
39,0.187742,100.86.87.79,192.0.77.40,TLSv1.3,123,Application Data,2
40,0.187784,100.86.87.79,192.0.77.40,TLSv1.3,123,Application Data,2
41,0.18782,100.86.87.79,192.0.77.40,TLSv1.3,123,Application Data,2
42,0.187858,100.86.87.79,192.0.77.40,TLSv1.3,122,Application Data,2
43,0.187895,100.86.87.79,192.0.77.40,TLSv1.3,123,Application Data,2
44,0.19731,192.0.77.40,100.86.87.79,TCP,66,"443  >  61495 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460 SACK_PERM WS=512",2
45,0.19731,192.0.77.40,100.86.87.79,TCP,66,"443  >  61496 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1460 SACK_PERM WS=512",2
46,0.197548,100.86.87.79,192.0.77.40,TCP,54,61495  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0,2
47,0.197591,100.86.87.79,192.0.77.40,TCP,54,61496  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0,2
48,0.197673,192.0.77.40,100.86.87.79,TCP,56,443  >  61494 [ACK] Seq=18298 Ack=3076 Win=42496 Len=0,2
49,0.198249,100.86.87.79,192.0.77.40,TLSv1.3,1813,Client Hello (SNI=assets.tumblr.com),2
50,0.198592,192.0.77.40,100.86.87.79,TLSv1.3,4227,"Application Data, Application Data, Application Data",2
51,0.19871,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=3213 Ack=22471 Win=131328 Len=0,2
52,0.198763,100.86.87.79,192.0.77.40,TLSv1.3,1781,Client Hello (SNI=assets.tumblr.com),2
53,0.19932,192.0.77.40,100.86.87.79,TLSv1.3,1514,Application Data,2
54,0.19932,192.0.77.40,100.86.87.79,TLSv1.3,1376,Application Data,2
55,0.19932,192.0.77.40,100.86.87.79,TLSv1.3,1514,Application Data,2
56,0.19932,192.0.77.40,100.86.87.79,TLSv1.3,105,Application Data,2
57,0.19932,192.0.77.40,100.86.87.79,TLSv1.3,1514,Application Data,2
58,0.19932,192.0.77.40,100.86.87.79,TLSv1.3,1376,Application Data,2
59,0.19932,192.0.77.40,100.86.87.79,TLSv1.3,2974,"Application Data, Application Data",2
60,0.199534,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=3213 Ack=32466 Win=131328 Len=0,2
61,0.201203,192.0.77.40,100.86.87.79,TLSv1.3,1514,Application Data,2
62,0.201203,192.0.77.40,100.86.87.79,TLSv1.3,1514,Application Data,2
63,0.201203,192.0.77.40,100.86.87.79,TLSv1.3,1514,Application Data,2
64,0.201203,192.0.77.40,100.86.87.79,TLSv1.3,643,Application Data,2
65,0.201327,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=3213 Ack=37435 Win=131328 Len=0,2
66,0.202819,192.0.77.40,100.86.87.79,TLSv1.3,5894,"Application Data, Application Data, Application Data, Application Data",2
67,0.202907,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=3213 Ack=43275 Win=131328 Len=0,2
68,0.20299,192.0.77.40,100.86.87.79,TLSv1.3,2974,"Application Data, Application Data",2
69,0.203057,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=3213 Ack=46195 Win=131328 Len=0,2
70,0.203466,192.0.77.40,100.86.87.79,TLSv1.3,2974,"Application Data, Application Data",2
71,0.203542,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=3213 Ack=49115 Win=131328 Len=0,2
72,0.204097,192.0.77.40,100.86.87.79,TLSv1.3,1514,Application Data,2
73,0.204238,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=3213 Ack=50575 Win=131328 Len=0,2
74,0.208827,192.0.77.40,100.86.87.79,TCP,56,443  >  61495 [ACK] Seq=1 Ack=1760 Win=42496 Len=0,2
75,0.209303,192.0.77.40,100.86.87.79,TLSv1.3,2974,"Application Data, Application Data, Application Data",2
76,0.209409,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=3213 Ack=53495 Win=131328 Len=0,2
77,0.209586,192.0.77.40,100.86.87.79,TCP,56,443  >  61496 [ACK] Seq=1 Ack=1728 Win=42496 Len=0,2
78,0.212025,192.0.77.40,100.86.87.79,TLSv1.3,2974,"Server Hello, Change Cipher Spec, Application Data",2
79,0.212025,192.0.77.40,100.86.87.79,TLSv1.3,910,"Application Data, Application Data, Application Data",2
80,0.212025,192.0.77.40,100.86.87.79,TLSv1.3,4434,"Application Data, Application Data, Application Data",2
81,0.212323,100.86.87.79,192.0.77.40,TCP,54,61495  >  443 [ACK] Seq=1760 Ack=3777 Win=131328 Len=0,2
82,0.212424,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=3213 Ack=57875 Win=131328 Len=0,2
83,0.213054,192.0.77.40,100.86.87.79,TCP,1514,443  >  61494 [ACK] Seq=57875 Ack=3213 Win=42496 Len=1460 [TCP segment of a reassembled PDU],2
84,0.213054,192.0.77.40,100.86.87.79,TCP,1514,443  >  61494 [ACK] Seq=59335 Ack=3213 Win=42496 Len=1460 [TCP segment of a reassembled PDU],2
85,0.213054,192.0.77.40,100.86.87.79,TLSv1.3,1514,Application Data,2
86,0.213054,192.0.77.40,100.86.87.79,TCP,1514,443  >  61494 [ACK] Seq=62255 Ack=3213 Win=42496 Len=1460 [TCP segment of a reassembled PDU],2
87,0.213054,192.0.77.40,100.86.87.79,TCP,1514,443  >  61494 [ACK] Seq=63715 Ack=3213 Win=42496 Len=1460 [TCP segment of a reassembled PDU],2
88,0.213054,192.0.77.40,100.86.87.79,TLSv1.3,1514,"Server Hello, Change Cipher Spec, Application Data",2
89,0.213404,100.86.87.79,192.0.77.40,TCP,54,61494  >  443 [ACK] Seq=3213 Ack=65175 Win=131328 Len=0,2
90,0.216036,192.0.77.40,100.86.87.79,TCP,1514,443  >  61496 [ACK] Seq=1461 Ack=1728 Win=42496 Len=1460 [TCP segment of a reassembled PDU],2
91,0.216036,192.0.77.40,100.86.87.79,TLSv1.3,911,"Application Data, Application Data, Application Data",2
92,0.216036,192.0.77.40,100.86.87.79,TLSv1.3,5894,"Application Data, Application Data",2
93,0.216036,192.0.77.40,100.86.87.79,TLSv1.3,5894,Application Data,2
