No.,Time,Source,Destination,Protocol,Length,Info,label
1,0,100.86.100.45,104.244.42.65,TCP,78,61715  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=1029916710 TSecr=0 SACK_PERM,2
2,0.092999,104.244.42.65,100.86.100.45,TCP,74,"443  >  61715 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1360 SACK_PERM TSval=3617604828 TSecr=1029916710 WS=256",2
3,0.0931,100.86.100.45,104.244.42.65,TCP,66,61715  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0 TSval=1029916803 TSecr=3617604828,2
4,0.093207,100.86.100.45,104.244.42.65,TLSv1.3,629,Client Hello (SNI=twitter.com),2
5,0.186263,104.244.42.65,100.86.100.45,TCP,66,443  >  61715 [ACK] Seq=1 Ack=564 Win=66816 Len=0 TSval=3617604921 TSecr=1029916803,2
6,0.187767,104.244.42.65,100.86.100.45,TLSv1.3,1414,"Server Hello, Change Cipher Spec",2
7,0.18783,100.86.100.45,104.244.42.65,TCP,66,61715  >  443 [ACK] Seq=564 Ack=1349 Win=130752 Len=0 TSval=1029916898 TSecr=3617604922,2
8,0.18841,104.244.42.65,100.86.100.45,TCP,1414,"443  >  61715 [PSH, ACK] Seq=1349 Ack=564 Win=66816 Len=1348 TSval=3617604922 TSecr=1029916803 [TCP segment of a reassembled PDU]",2
9,0.18841,104.244.42.65,100.86.100.45,TLSv1.3,872,Application Data,2
10,0.188446,100.86.100.45,104.244.42.65,TCP,66,61715  >  443 [ACK] Seq=564 Ack=3503 Win=128896 Len=0 TSval=1029916898 TSecr=3617604922,2
11,0.189471,100.86.100.45,104.244.42.65,TLSv1.3,130,"Change Cipher Spec, Application Data",2
12,0.18956,100.86.100.45,104.244.42.65,TLSv1.3,158,Application Data,2
13,0.189676,100.86.100.45,104.244.42.65,TLSv1.3,931,Application Data,2
14,0.283045,104.244.42.65,100.86.100.45,TCP,66,443  >  61715 [ACK] Seq=3503 Ack=1585 Win=69376 Len=0 TSval=3617605018 TSecr=1029916899,2
15,0.283503,104.244.42.65,100.86.100.45,TLSv1.3,593,"Application Data, Application Data",2
16,0.283553,100.86.100.45,104.244.42.65,TCP,66,61715  >  443 [ACK] Seq=1585 Ack=4030 Win=130496 Len=0 TSval=1029916992 TSecr=3617605018,2
17,0.283691,100.86.100.45,104.244.42.65,TLSv1.3,97,Application Data,2
18,0.349516,104.244.42.65,100.86.100.45,TCP,1414,443  >  61715 [ACK] Seq=4030 Ack=1585 Win=69376 Len=1348 TSval=3617605083 TSecr=1029916899 [TCP segment of a reassembled PDU],2
19,0.349517,104.244.42.65,100.86.100.45,TCP,1414,"443  >  61715 [PSH, ACK] Seq=5378 Ack=1585 Win=69376 Len=1348 TSval=3617605083 TSecr=1029916899 [TCP segment of a reassembled PDU]",2
