No.,Time,Source,Destination,Protocol,Length,Info,label
1,0.0,100.86.111.80,23.61.11.185,TCP,66,51454  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,1
2,0.011853,23.61.11.185,100.86.111.80,TCP,66,"443  >  51454 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128",1
3,0.012135,100.86.111.80,23.61.11.185,TCP,54,51454  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=0,1
4,0.014228,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=1 Ack=1 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
5,0.014228,100.86.111.80,23.61.11.185,TLSv1.3,358,Client Hello (SNI=rubicon.wellsfargo.com),1
6,0.024797,23.61.11.185,100.86.111.80,TCP,56,443  >  51454 [ACK] Seq=1 Ack=1765 Win=63360 Len=0,1
7,0.029132,23.61.11.185,100.86.111.80,TLSv1.3,1514,"Server Hello, Change Cipher Spec, Application Data",1
8,0.029132,23.61.11.185,100.86.111.80,TCP,1514,"443  >  51454 [PSH, ACK] Seq=1461 Ack=1765 Win=64128 Len=1460 [TCP segment of a reassembled PDU]",1
9,0.029416,100.86.111.80,23.61.11.185,TCP,54,51454  >  443 [ACK] Seq=1765 Ack=2921 Win=65536 Len=0,1
10,0.029526,23.61.11.185,100.86.111.80,TLSv1.3,1230,"Application Data, Application Data",1
11,0.029526,23.61.11.185,100.86.111.80,TLSv1.3,92,Application Data,1
12,0.029727,100.86.111.80,23.61.11.185,TCP,54,51454  >  443 [ACK] Seq=1765 Ack=4135 Win=64256 Len=0,1
13,0.03724,100.86.111.80,23.61.11.185,TLSv1.3,134,"Change Cipher Spec, Application Data",1
14,0.039279,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=1845 Ack=4135 Win=64256 Len=1460 [TCP segment of a reassembled PDU],1
15,0.039279,100.86.111.80,23.61.11.185,TLSv1.3,1221,Application Data,1
16,0.05115,23.61.11.185,100.86.111.80,TLSv1.3,357,Application Data,1
17,0.05115,23.61.11.185,100.86.111.80,TLSv1.3,357,Application Data,1
18,0.051414,100.86.111.80,23.61.11.185,TCP,54,51454  >  443 [ACK] Seq=4472 Ack=4741 Win=65536 Len=0,1
19,0.051533,23.61.11.185,100.86.111.80,TCP,56,443  >  51454 [ACK] Seq=4741 Ack=4472 Win=63360 Len=0,1
20,0.122297,23.61.11.185,100.86.111.80,TCP,1514,443  >  51454 [ACK] Seq=4741 Ack=4472 Win=64128 Len=1460 [TCP segment of a reassembled PDU],1
21,0.122297,23.61.11.185,100.86.111.80,TLSv1.3,816,Application Data,1
22,0.122587,100.86.111.80,23.61.11.185,TCP,54,51454  >  443 [ACK] Seq=4472 Ack=6963 Win=65536 Len=0,1
23,0.832392,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=4472 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
24,0.832392,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=5932 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
25,0.832392,100.86.111.80,23.61.11.185,TLSv1.3,1514,Application Data,1
26,0.832392,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=8852 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
27,0.832392,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=10312 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
28,0.832392,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=11772 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
29,0.832392,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=13232 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
30,0.832392,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=14692 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
31,0.832392,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=16152 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
32,0.832392,100.86.111.80,23.61.11.185,TLSv1.3,163,Application Data,1
33,0.845367,23.61.11.185,100.86.111.80,TCP,56,443  >  51454 [ACK] Seq=6963 Ack=7392 Win=64128 Len=0,1
34,0.873833,100.86.111.80,23.61.11.185,TCP,1514,"[TCP Retransmission] 51454  >  443 [PSH, ACK] Seq=16261 Ack=6963 Win=65536 Len=1460 [TCP segment of a reassembled PDU]",1
35,0.883879,23.61.11.185,100.86.111.80,TCP,56,443  >  51454 [ACK] Seq=6963 Ack=17721 Win=57216 Len=0,1
36,0.90375,23.61.11.185,100.86.111.80,TCP,66,[TCP Window Update] 443  >  51454 [ACK] Seq=6963 Ack=17721 Win=64128 Len=0 SLE=16261 SRE=17721,1
37,0.950345,23.61.11.185,100.86.111.80,TCP,1514,443  >  51454 [ACK] Seq=6963 Ack=17721 Win=64128 Len=1460 [TCP segment of a reassembled PDU],1
38,0.951889,23.61.11.185,100.86.111.80,TLSv1.3,487,Application Data,1
39,0.952127,100.86.111.80,23.61.11.185,TCP,54,51454  >  443 [ACK] Seq=17721 Ack=8856 Win=65536 Len=0,1
40,10.459852,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=17721 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
41,10.459852,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=19181 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
42,10.459852,100.86.111.80,23.61.11.185,TLSv1.3,1096,Application Data,1
43,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=21683 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
44,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=23143 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
45,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=24603 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
46,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=26063 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
47,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=27523 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
48,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=28983 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
49,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=30443 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
50,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=31903 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
51,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=33363 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
52,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=34823 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
53,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=36283 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
54,10.46001,100.86.111.80,23.61.11.185,TLSv1.3,1514,Application Data,1
55,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=39203 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
56,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=40663 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
57,10.46001,100.86.111.80,23.61.11.185,TCP,1514,51454  >  443 [ACK] Seq=42123 Ack=8856 Win=65536 Len=1460 [TCP segment of a reassembled PDU],1
