No.,Time,Source,Destination,Protocol,Length,Info,label
1,0,100.86.73.172,172.253.62.190,TCP,66,62134  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,0
2,0.017293,172.253.62.190,100.86.73.172,TCP,66,"443  >  62134 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256",0
3,0.017498,100.86.73.172,172.253.62.190,TCP,54,62134  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0,0
4,0.018181,100.86.73.172,172.253.62.190,TLSv1.3,571,Client Hello (SNI=www.youtube.com),0
5,0.030529,172.253.62.190,100.86.73.172,TCP,56,443  >  62134 [ACK] Seq=1 Ack=518 Win=66816 Len=0,0
6,0.038375,172.253.62.190,100.86.73.172,TLSv1.3,1466,"Server Hello, Change Cipher Spec",0
7,0.038375,172.253.62.190,100.86.73.172,TCP,1466,"443  >  62134 [PSH, ACK] Seq=1413 Ack=518 Win=66816 Len=1412 [TCP segment of a reassembled PDU]",0
8,0.038375,172.253.62.190,100.86.73.172,TCP,1466,443  >  62134 [ACK] Seq=2825 Ack=518 Win=66816 Len=1412 [TCP segment of a reassembled PDU],0
9,0.038375,172.253.62.190,100.86.73.172,TCP,1466,"443  >  62134 [PSH, ACK] Seq=4237 Ack=518 Win=66816 Len=1412 [TCP segment of a reassembled PDU]",0
10,0.038468,100.86.73.172,172.253.62.190,TCP,54,62134  >  443 [ACK] Seq=518 Ack=5649 Win=131072 Len=0,0
11,0.046017,172.253.62.190,100.86.73.172,TLSv1.3,1377,Application Data,0
12,0.046596,100.86.73.172,172.253.62.190,TLSv1.3,128,"Change Cipher Spec, Application Data",0
13,0.047896,100.86.73.172,172.253.62.190,TLSv1.3,146,Application Data,0
14,0.048163,100.86.73.172,172.253.62.190,TLSv1.3,2288,Application Data,0
15,0.072961,172.253.62.190,100.86.73.172,TLSv1.3,1012,"Application Data, Application Data",0
16,0.072961,172.253.62.190,100.86.73.172,TLSv1.3,85,Application Data,0
17,0.072961,172.253.62.190,100.86.73.172,TCP,56,443  >  62134 [ACK] Seq=7961 Ack=2918 Win=72448 Len=0,0
18,0.073096,100.86.73.172,172.253.62.190,TCP,54,62134  >  443 [ACK] Seq=2918 Ack=7930 Win=131072 Len=0,0
19,0.073179,100.86.73.172,172.253.62.190,TCP,54,62134  >  443 [ACK] Seq=2918 Ack=7961 Win=131072 Len=0,0
20,0.073607,100.86.73.172,172.253.62.190,TLSv1.3,85,Application Data,0
21,0.094032,172.253.62.190,100.86.73.172,TCP,56,443  >  62134 [ACK] Seq=7961 Ack=2949 Win=72448 Len=0,0
22,0.128389,172.253.62.190,100.86.73.172,TLSv1.3,1466,Application Data,0
23,0.128389,172.253.62.190,100.86.73.172,TLSv1.3,227,Application Data,0
24,0.128389,172.253.62.190,100.86.73.172,TLSv1.3,2878,"Application Data, Application Data",0
25,0.128389,172.253.62.190,100.86.73.172,TLSv1.3,612,Application Data,0
26,0.128489,100.86.73.172,172.253.62.190,TCP,54,62134  >  443 [ACK] Seq=2949 Ack=12928 Win=131072 Len=0,0
27,0.140859,172.253.62.190,100.86.73.172,TLSv1.3,4290,"Application Data, Application Data, Application Data",0
28,0.140922,100.86.73.172,172.253.62.190,TCP,54,62134  >  443 [ACK] Seq=2949 Ack=17164 Win=131072 Len=0,0
29,0.144137,172.253.62.190,100.86.73.172,TLSv1.3,5702,"Application Data, Application Data, Application Data, Application Data",0
30,0.144203,100.86.73.172,172.253.62.190,TCP,54,62134  >  443 [ACK] Seq=2949 Ack=22812 Win=131072 Len=0,0
31,0.147848,172.253.62.190,100.86.73.172,TLSv1.3,8526,"Application Data, Application Data, Application Data, Application Data, Application Data, Application Data, Application Data",0
